Geneid,Entity,Symbol,0_R1,0_R2,0_R3,30_R1,30_R2,30_R3,60_R1,60_R2,60_R3
gene-VC_RS08070,host,gene-VC_RS08070,195.0,323.0,253.0,314.0,367.0,295.0,366.0,360.0,229.0
gene-VC_RS11750,host,gene-VC_RS11750,1206.0,1677.0,1521.0,1862.0,2233.0,1774.0,1256.0,1524.0,880.0
gene-VC_RS07965,host,gene-VC_RS07965,54.0,85.0,87.0,100.0,134.0,130.0,128.0,186.0,111.0
gene-VC_RS10695,host,gene-VC_RS10695,44.0,50.0,40.0,47.0,95.0,81.0,93.0,82.0,56.0
gene-VC_RS14675,host,gene-VC_RS14675,809.0,1109.0,1011.0,1175.0,1227.0,1058.0,2014.0,2173.0,1606.0
gene-VC_RS11000,host,gpt,,2740.0,2312.0,2192.0,,2234.0,1986.0,3624.0,
gene-VC_RS01880,host,pgi,,,,2967.0,,2920.0,,3382.0,
gene-VC_RS03695,host,aceB,199.0,325.0,247.0,230.0,339.0,251.0,252.0,318.0,206.0
gene-VC_RS03465,host,gene-VC_RS03465,679.0,1063.0,953.0,1113.0,1102.0,1006.0,1851.0,2019.0,1356.0
gene-VC_RS09355,host,gene-VC_RS09355,1485.0,2175.0,2103.0,1937.0,2729.0,2260.0,2811.0,3314.0,2268.0
gene-VC_RS09410,host,gene-VC_RS09410,162.0,272.0,207.0,349.0,374.0,274.0,352.0,390.0,220.0
gene-VC_RS12360,host,dbpA,876.0,1613.0,1375.0,,2025.0,1669.0,,,
gene-VPVV882_gp49,phage,gene-VPVV882_gp49,126.0,136.0,122.0,1996.0,1178.0,1433.0,,,
gene-VC_RS00440,host,gene-VC_RS00440,71.0,93.0,102.0,102.0,156.0,104.0,151.0,145.0,92.0
gene-VC_RS14510,host,gene-VC_RS14510,48.0,69.0,72.0,90.0,76.0,75.0,141.0,128.0,98.0
gene-VC_RS07750,host,gene-VC_RS07750,173.0,202.0,186.0,183.0,226.0,198.0,284.0,299.0,217.0
gene-VC_RS04335,host,gene-VC_RS04335,513.0,838.0,663.0,772.0,1304.0,860.0,730.0,1052.0,577.0
gene-VC_RS11780,host,gene-VC_RS11780,373.0,480.0,426.0,385.0,499.0,419.0,418.0,506.0,347.0
gene-VC_RS06745,host,gene-VC_RS06745,395.0,742.0,601.0,723.0,1078.0,808.0,1257.0,1519.0,955.0
gene-VC_RS10010,host,gene-VC_RS10010,98.0,132.0,125.0,138.0,202.0,100.0,125.0,200.0,109.0
gene-VC_RS18800,host,gene-VC_RS18800,549.0,823.0,785.0,554.0,784.0,564.0,462.0,543.0,353.0
gene-VC_RS16980,host,artM,435.0,746.0,564.0,386.0,539.0,389.0,486.0,612.0,432.0
gene-VC_RS18790,host,gene-VC_RS18790,467.0,758.0,623.0,381.0,543.0,432.0,599.0,500.0,323.0
gene-VC_RS05625,host,gene-VC_RS05625,271.0,410.0,337.0,299.0,384.0,373.0,394.0,421.0,271.0
gene-VC_RS09270,host,clpP,2012.0,3397.0,2652.0,2534.0,3563.0,2617.0,1694.0,2004.0,1287.0
gene-VC_RS05255,host,gene-VC_RS05255,109.0,161.0,132.0,187.0,272.0,231.0,422.0,411.0,268.0
gene-VC_RS01230,host,gene-VC_RS01230,,,,,,,,,
gene-VC_RS11320,host,gene-VC_RS11320,70.0,122.0,96.0,82.0,141.0,87.0,105.0,117.0,79.0
gene-VC_RS07995,host,vieA,421.0,615.0,500.0,354.0,492.0,430.0,437.0,453.0,340.0
gene-VC_RS14235,host,gene-VC_RS14235,104.0,128.0,127.0,348.0,303.0,263.0,511.0,558.0,389.0
gene-VC_RS14260,host,gene-VC_RS14260,416.0,671.0,543.0,469.0,696.0,502.0,524.0,633.0,394.0
gene-VC_RS12765,host,gene-VC_RS12765,358.0,603.0,496.0,514.0,789.0,596.0,686.0,790.0,478.0
gene-VC_RS12700,host,gene-VC_RS12700,29.0,39.0,29.0,38.0,50.0,40.0,41.0,62.0,28.0
gene-VC_RS12590,host,gene-VC_RS12590,620.0,812.0,754.0,1237.0,1271.0,1054.0,1929.0,2384.0,1768.0
gene-VC_RS05200,host,gene-VC_RS05200,329.0,513.0,468.0,783.0,775.0,704.0,1212.0,1174.0,897.0
gene-VC_RS06560,host,gene-VC_RS06560,387.0,545.0,522.0,531.0,677.0,538.0,575.0,644.0,412.0
gene-VC_RS00845,host,gene-VC_RS00845,528.0,781.0,620.0,606.0,789.0,604.0,748.0,866.0,566.0
gene-VC_RS04850,host,yfcE,530.0,693.0,689.0,677.0,965.0,802.0,1162.0,1141.0,723.0
gene-VC_RS04530,host,gene-VC_RS04530,353.0,440.0,392.0,350.0,429.0,282.0,191.0,188.0,133.0
gene-VC_RS00510,host,polA,1187.0,1879.0,1614.0,1661.0,2151.0,1576.0,1596.0,1905.0,1235.0
gene-VC_RS13210,host,gene-VC_RS13210,158.0,208.0,179.0,321.0,417.0,282.0,522.0,746.0,417.0
gene-VC_RS16695,host,gene-VC_RS16695,1596.0,2658.0,2200.0,,,,,,
gene-VC_RS17115,host,gene-VC_RS17115,364.0,578.0,511.0,393.0,444.0,387.0,279.0,329.0,263.0
gene-VC_RS08275,host,gene-VC_RS08275,704.0,1068.0,930.0,549.0,840.0,630.0,429.0,516.0,320.0
gene-VC_RS00490,host,glpE,327.0,420.0,374.0,573.0,672.0,550.0,268.0,313.0,208.0
gene-VC_RS14360,host,gene-VC_RS14360,590.0,855.0,782.0,1132.0,1311.0,1216.0,2565.0,2735.0,1921.0
gene-VC_RS07930,host,gene-VC_RS07930,116.0,161.0,129.0,98.0,174.0,121.0,120.0,129.0,80.0
gene-VC_RS09910,host,ccmA,792.0,1255.0,1131.0,,,1210.0,889.0,1079.0,679.0
gene-VC_RS00260,host,gene-VC_RS00260,207.0,371.0,300.0,204.0,246.0,194.0,150.0,174.0,106.0
gene-VC_RS04345,host,gene-VC_RS04345,1958.0,2906.0,2441.0,,4006.0,3095.0,,,
gene-VC_RS07210,host,pyrD,1420.0,1960.0,1838.0,2327.0,2849.0,2358.0,3078.0,3553.0,
gene-VC_RS15810,host,gene-VC_RS15810,355.0,415.0,322.0,433.0,531.0,439.0,515.0,653.0,420.0
gene-VC_RS16510,host,gene-VC_RS16510,78.0,133.0,130.0,95.0,142.0,105.0,139.0,152.0,95.0
gene-VC_RS03835,host,gene-VC_RS03835,343.0,491.0,389.0,415.0,520.0,408.0,486.0,573.0,396.0
gene-VC_RS10305,host,flaG,391.0,634.0,523.0,343.0,532.0,396.0,393.0,407.0,225.0
gene-VC_RS12610,host,gene-VC_RS12610,302.0,534.0,430.0,416.0,625.0,422.0,380.0,440.0,309.0
gene-VC_RS14985,host,gene-VC_RS14985,254.0,397.0,364.0,260.0,412.0,312.0,483.0,544.0,354.0
gene-VC_RS15325,host,gene-VC_RS15325,209.0,213.0,200.0,271.0,417.0,336.0,533.0,566.0,360.0
gene-VC_RS12065,host,lptG,1231.0,1726.0,1590.0,1384.0,2107.0,1524.0,3029.0,1741.0,
gene-VC_RS14605,host,gene-VC_RS14605,575.0,809.0,677.0,472.0,584.0,453.0,372.0,434.0,306.0
gene-VC_RS04225,host,ssrA,,,,,,,,,
gene-VC_RS01115,host,gene-VC_RS01115,701.0,963.0,774.0,559.0,1062.0,616.0,504.0,1003.0,375.0
gene-VC_RS03860,host,gene-VC_RS03860,1487.0,2278.0,2303.0,,,,,,
gene-VC_RS09095,host,gene-VC_RS09095,406.0,556.0,565.0,536.0,805.0,634.0,657.0,740.0,455.0
gene-VC_RS06550,host,gene-VC_RS06550,150.0,223.0,183.0,196.0,239.0,161.0,158.0,212.0,142.0
gene-VC_RS09290,host,gene-VC_RS09290,385.0,588.0,479.0,262.0,413.0,304.0,190.0,254.0,148.0
gene-VC_RS17195,host,gene-VC_RS17195,119.0,169.0,138.0,134.0,206.0,156.0,231.0,303.0,201.0
gene-VC_RS12430,host,rpmD,1472.0,2537.0,1689.0,1227.0,2136.0,1405.0,888.0,1178.0,702.0
gene-VC_RS15010,host,gene-VC_RS15010,826.0,1008.0,929.0,714.0,1035.0,795.0,453.0,507.0,349.0
gene-VC_RS05375,host,oppF,902.0,1223.0,984.0,546.0,779.0,530.0,312.0,379.0,271.0
gene-VC_RS05455,host,bioB,1512.0,2625.0,1886.0,939.0,1617.0,1035.0,374.0,466.0,764.0
gene-VC_RS11935,host,ssrS,,,,,,,2912.0,3230.0,1797.0
gene-VC_RS11030,host,gene-VC_RS11030,909.0,1133.0,1099.0,675.0,1026.0,779.0,837.0,2168.0,644.0
gene-VC_RS02005,host,gene-VC_RS02005,89.0,129.0,105.0,103.0,123.0,120.0,96.0,108.0,100.0
gene-VC_RS04105,host,tcpI,687.0,861.0,,1087.0,1319.0,1355.0,2649.0,3406.0,2160.0
gene-VC_RS10935,host,gene-VC_RS10935,1201.0,1533.0,1270.0,886.0,1349.0,948.0,622.0,780.0,524.0
gene-VC_RS03685,host,gene-VC_RS03685,,,,,,,,,
gene-VC_RS12980,host,gene-VC_RS12980,301.0,530.0,453.0,565.0,670.0,509.0,641.0,817.0,561.0
gene-VC_RS09570,host,tsaB,296.0,354.0,307.0,265.0,422.0,342.0,297.0,344.0,222.0
gene-VC_RS17810,host,malG,,,,1491.0,2908.0,1811.0,1568.0,1935.0,1081.0
gene-VC_RS02555,host,gene-VC_RS02555,1237.0,1574.0,1371.0,1435.0,1992.0,1623.0,1724.0,3599.0,1268.0
gene-VC_RS08145,host,gene-VC_RS08145,460.0,696.0,545.0,299.0,459.0,321.0,261.0,277.0,170.0
gene-VC_RS00030,host,rpmH,,,3047.0,1631.0,3161.0,2014.0,2108.0,2588.0,1549.0
gene-VC_RS17315,host,gene-VC_RS17315,326.0,447.0,434.0,431.0,450.0,402.0,518.0,566.0,411.0
gene-VC_RS17945,host,gene-VC_RS17945,1039.0,1457.0,1383.0,1453.0,1781.0,1493.0,1179.0,1422.0,924.0
gene-VC_RS11080,host,gene-VC_RS11080,,,,,,,,,
gene-VC_RS06105,host,gene-VC_RS06105,2283.0,3294.0,2739.0,2775.0,3719.0,3047.0,,,
gene-VC_RS16595,host,narQ,258.0,386.0,349.0,354.0,447.0,332.0,419.0,484.0,313.0
gene-VC_RS17505,host,gene-VC_RS17505,1266.0,1888.0,1520.0,2187.0,2885.0,2222.0,2382.0,3168.0,2079.0
gene-VC_RS14770,host,gene-VC_RS14770,1127.0,1493.0,1464.0,1177.0,1624.0,1224.0,796.0,961.0,586.0
gene-VC_RS06445,host,nqrM,67.0,97.0,112.0,95.0,123.0,143.0,140.0,116.0,81.0
gene-VC_RS01945,host,gene-VC_RS01945,,,,,,,,,
gene-VC_RS05805,host,gene-VC_RS05805,282.0,413.0,312.0,330.0,471.0,335.0,565.0,732.0,449.0
gene-VC_RS09520,host,yfbR,132.0,164.0,166.0,279.0,259.0,286.0,330.0,323.0,209.0
gene-VC_RS14240,host,gene-VC_RS14240,,,,,,,,,
gene-VC_RS08115,host,pspB,219.0,369.0,305.0,279.0,468.0,367.0,482.0,539.0,386.0
gene-VC_RS03255,host,nusA,,,,,,,,,
gene-VC_RS08450,host,gene-VC_RS08450,1034.0,1566.0,1353.0,1374.0,1858.0,1531.0,1303.0,1563.0,1035.0
gene-VC_RS06330,host,queD,615.0,957.0,770.0,677.0,1186.0,784.0,770.0,1063.0,573.0
gene-VC_RS17335,host,gene-VC_RS17335,457.0,746.0,599.0,651.0,739.0,601.0,534.0,604.0,372.0
gene-VC_RS00095,host,gene-VC_RS00095,801.0,1183.0,1050.0,2071.0,2599.0,1965.0,3127.0,3807.0,
gene-VC_RS19040,host,gene-VC_RS19040,218.0,292.0,257.0,260.0,400.0,282.0,576.0,885.0,606.0
gene-VC_RS13840,host,gene-VC_RS13840,1256.0,1939.0,1778.0,1409.0,1730.0,1332.0,1599.0,1821.0,1226.0
gene-VC_RS10390,host,gene-VC_RS10390,1059.0,1534.0,1320.0,1734.0,,1707.0,,2229.0,
gene-VC_RS09395,host,gene-VC_RS09395,125.0,185.0,156.0,212.0,240.0,179.0,251.0,305.0,172.0
gene-VC_RS17935,host,gene-VC_RS17935,728.0,1265.0,1050.0,915.0,1517.0,1003.0,963.0,1153.0,702.0
gene-VC_RS11405,host,gene-VC_RS11405,260.0,403.0,379.0,220.0,331.0,244.0,270.0,277.0,167.0
gene-VC_RS10375,host,gene-VC_RS10375,507.0,974.0,660.0,775.0,1040.0,815.0,874.0,1158.0,671.0
gene-VC_RS12270,host,ppa,1411.0,2205.0,1853.0,2598.0,2631.0,2223.0,2073.0,2353.0,1535.0
gene-VC_RS04835,host,gene-VC_RS04835,549.0,863.0,636.0,528.0,865.0,519.0,296.0,319.0,222.0
gene-VC_RS13625,host,gene-VC_RS13625,1016.0,1446.0,1313.0,734.0,902.0,698.0,685.0,884.0,532.0
gene-VC_RS15005,host,gene-VC_RS15005,4.0,12.0,8.0,6.0,13.0,14.0,11.0,22.0,18.0
gene-VC_RS13220,host,gene-VC_RS13220,384.0,468.0,313.0,383.0,477.0,364.0,475.0,,319.0
gene-VC_RS17010,host,gene-VC_RS17010,934.0,1251.0,1165.0,965.0,1250.0,903.0,905.0,1057.0,756.0
gene-VC_RS08140,host,sapC,803.0,1199.0,1168.0,651.0,754.0,674.0,492.0,555.0,391.0
gene-VC_RS15940,host,ylqF,1168.0,1873.0,1495.0,2298.0,2567.0,2302.0,2776.0,3530.0,2358.0
gene-VC_RS15305,host,gene-VC_RS15305,252.0,442.0,375.0,319.0,574.0,466.0,818.0,956.0,603.0
gene-VC_RS02380,host,gene-VC_RS02380,583.0,996.0,816.0,815.0,1017.0,791.0,850.0,986.0,711.0
gene-VC_RS03330,host,rimI,237.0,352.0,312.0,312.0,376.0,280.0,330.0,410.0,271.0
gene-VC_RS10055,host,gene-VC_RS10055,1905.0,3027.0,2335.0,1338.0,1859.0,1272.0,687.0,842.0,568.0
gene-VC_RS01600,host,rplA,,,,,,,,,
gene-VC_RS05695,host,gene-VC_RS05695,335.0,480.0,453.0,438.0,619.0,489.0,573.0,597.0,406.0
gene-VC_RS15730,host,gene-VC_RS15730,320.0,493.0,393.0,296.0,508.0,376.0,560.0,725.0,443.0
gene-VC_RS16755,host,torS,631.0,907.0,758.0,870.0,1104.0,856.0,927.0,1052.0,711.0
gene-VC_RS04435,host,gene-VC_RS04435,376.0,532.0,494.0,478.0,553.0,500.0,504.0,643.0,341.0
gene-VC_RS04990,host,gene-VC_RS04990,713.0,1084.0,908.0,830.0,1059.0,755.0,705.0,833.0,539.0
gene-VC_RS14325,host,gene-VC_RS14325,290.0,428.0,330.0,356.0,502.0,375.0,682.0,735.0,434.0
gene-VC_RS05910,host,gene-VC_RS05910,221.0,230.0,273.0,420.0,404.0,425.0,728.0,695.0,484.0
gene-VC_RS16570,host,gene-VC_RS16570,171.0,257.0,229.0,190.0,320.0,212.0,201.0,248.0,141.0
gene-VC_RS17440,host,gene-VC_RS17440,213.0,334.0,289.0,283.0,339.0,272.0,312.0,412.0,293.0
gene-VC_RS06165,host,gene-VC_RS06165,1836.0,2680.0,2136.0,,,,,,
gene-VC_RS06190,host,gene-VC_RS06190,334.0,420.0,372.0,418.0,632.0,515.0,399.0,486.0,310.0
gene-VC_RS00815,host,gene-VC_RS00815,2325.0,2937.0,2585.0,2915.0,3889.0,2654.0,1960.0,2294.0,1365.0
gene-VC_RS15890,host,pfkB,46.0,122.0,101.0,132.0,145.0,114.0,184.0,215.0,130.0
gene-VC_RS12070,host,lptF,1882.0,2685.0,2443.0,2534.0,3627.0,2769.0,,3290.0,2073.0
gene-VC_RS16040,host,gene-VC_RS16040,430.0,652.0,587.0,976.0,1135.0,1032.0,1120.0,1290.0,893.0
gene-VC_RS05105,host,udk,298.0,449.0,385.0,804.0,991.0,708.0,889.0,1839.0,686.0
gene-VC_RS16905,host,gene-VC_RS16905,1913.0,3223.0,2469.0,3072.0,,3076.0,1842.0,2188.0,1265.0
gene-VC_RS16915,host,glpK,216.0,378.0,288.0,284.0,395.0,273.0,325.0,384.0,249.0
gene-VC_RS02060,host,gene-VC_RS02060,1124.0,1674.0,1512.0,849.0,1213.0,769.0,536.0,728.0,404.0
gene-VC_RS07500,host,gene-VC_RS07500,53.0,59.0,72.0,59.0,94.0,73.0,80.0,110.0,76.0
gene-VC_RS16525,host,gene-VC_RS16525,109.0,178.0,157.0,165.0,212.0,142.0,136.0,133.0,94.0
gene-VC_RS15465,host,gene-VC_RS15465,378.0,495.0,424.0,453.0,686.0,533.0,817.0,1023.0,708.0
gene-VC_RS00390,host,uspB,388.0,595.0,540.0,512.0,753.0,531.0,449.0,597.0,319.0
gene-VC_RS10470,host,lolB,455.0,612.0,575.0,932.0,1015.0,877.0,900.0,950.0,705.0
gene-VC_RS18025,host,gene-VC_RS18025,292.0,400.0,366.0,563.0,602.0,517.0,665.0,810.0,504.0
gene-VC_RS04240,host,gene-VC_RS04240,528.0,721.0,743.0,656.0,973.0,646.0,481.0,449.0,287.0
gene-VC_RS11380,host,thrB,,,,,,,1447.0,1813.0,1117.0
gene-VC_RS00350,host,gene-VC_RS00350,615.0,939.0,877.0,938.0,1056.0,955.0,1081.0,1233.0,800.0
gene-VC_RS18585,host,gene-VC_RS18585,322.0,480.0,434.0,260.0,347.0,295.0,252.0,268.0,217.0
gene-VC_RS04465,host,queF,827.0,1294.0,1064.0,1302.0,1855.0,1335.0,1677.0,2156.0,1348.0
gene-VC_RS17535,host,gene-VC_RS17535,576.0,784.0,741.0,1027.0,1128.0,932.0,1172.0,1173.0,836.0
gene-VC_RS16025,host,gene-VC_RS16025,368.0,503.0,455.0,857.0,880.0,857.0,1615.0,1808.0,1306.0
gene-VC_RS03820,host,bamB,2051.0,3109.0,2494.0,2127.0,2735.0,2027.0,,,1437.0
gene-VC_RS03670,host,phoU,951.0,1612.0,1069.0,577.0,1194.0,688.0,1136.0,623.0,413.0
gene-VC_RS00655,host,gene-VC_RS00655,27.0,48.0,59.0,38.0,61.0,43.0,33.0,43.0,26.0
gene-VC_RS03650,host,ppk1,872.0,1100.0,984.0,898.0,1166.0,976.0,602.0,734.0,457.0
gene-VC_RS02320,host,mutY,455.0,645.0,531.0,700.0,1222.0,826.0,789.0,1038.0,670.0
gene-VC_RS06575,host,gene-VC_RS06575,2113.0,3332.0,2604.0,2453.0,3046.0,2391.0,2087.0,2669.0,1609.0
gene-VC_RS02425,host,tkt,1909.0,2962.0,2591.0,,3526.0,3044.0,2501.0,2725.0,
gene-VC_RS05850,host,gene-VC_RS05850,306.0,477.0,391.0,492.0,785.0,545.0,638.0,779.0,483.0
gene-VC_RS08710,host,gene-VC_RS08710,92.0,164.0,126.0,108.0,190.0,148.0,235.0,289.0,170.0
gene-VC_RS19130,host,gene-VC_RS19130,39.0,64.0,54.0,67.0,72.0,65.0,67.0,82.0,47.0
gene-VC_RS11105,host,gene-VC_RS11105,1003.0,1391.0,1073.0,669.0,1023.0,688.0,553.0,621.0,386.0
gene-VC_RS03055,host,gene-VC_RS03055,1542.0,2444.0,2153.0,1788.0,2232.0,1759.0,1567.0,1661.0,1178.0
gene-VC_RS12110,host,argF,455.0,708.0,537.0,266.0,367.0,270.0,74.0,80.0,54.0
gene-VC_RS16845,host,gene-VC_RS16845,1356.0,1953.0,1725.0,1104.0,1711.0,1215.0,1200.0,1356.0,896.0
gene-VC_RS00475,host,gene-VC_RS00475,509.0,852.0,728.0,743.0,949.0,655.0,498.0,651.0,441.0
gene-VC_RS04030,host,gene-VC_RS04030,364.0,545.0,428.0,461.0,676.0,540.0,588.0,653.0,397.0
gene-VC_RS01810,host,rpsL,1311.0,1964.0,1897.0,1493.0,2159.0,1525.0,964.0,,788.0
gene-VC_RS07475,host,gene-VC_RS07475,528.0,766.0,527.0,874.0,1154.0,813.0,619.0,848.0,522.0
gene-VC_RS09035,host,gene-VC_RS09035,1387.0,2005.0,1751.0,1461.0,1956.0,1481.0,746.0,967.0,535.0
gene-VC_RS02640,host,gene-VC_RS02640,,,,,,,,,
gene-VC_RS07805,host,metA,854.0,1265.0,1129.0,1139.0,1398.0,1111.0,,3815.0,
gene-VC_RS12830,host,groL,,,,,,,2152.0,2677.0,1704.0
gene-VC_RS01930,host,cysI,,,,2359.0,,2258.0,494.0,580.0,689.0
gene-VC_RS16190,host,gene-VC_RS16190,306.0,339.0,332.0,337.0,445.0,360.0,459.0,586.0,378.0
gene-VC_RS10175,host,gene-VC_RS10175,213.0,364.0,306.0,379.0,493.0,424.0,548.0,665.0,395.0
gene-VC_RS13110,host,cysQ,1217.0,1521.0,1247.0,939.0,1164.0,929.0,967.0,1084.0,727.0
gene-VC_RS02015,host,csrD,1684.0,2662.0,2242.0,2127.0,2999.0,2211.0,1777.0,2284.0,1334.0
gene-VC_RS15335,host,gene-VC_RS15335,127.0,192.0,169.0,155.0,165.0,182.0,403.0,494.0,310.0
gene-VC_RS13610,host,gene-VC_RS13610,1488.0,2017.0,1668.0,1651.0,2457.0,1717.0,1892.0,2686.0,1581.0
gene-VC_RS09540,host,gene-VC_RS09540,724.0,989.0,966.0,1198.0,1518.0,1194.0,1514.0,1620.0,1026.0
gene-VC_RS17870,host,gene-VC_RS17870,973.0,1387.0,1158.0,1021.0,1360.0,1083.0,1026.0,1247.0,702.0
gene-VC_RS09070,host,gene-VC_RS09070,668.0,952.0,841.0,1044.0,1610.0,1121.0,973.0,1290.0,855.0
gene-VPVV882_gp71,phage,gene-VPVV882_gp71,1252.0,1512.0,1429.0,,,,,,
gene-VC_RS04410,host,ispA,1008.0,1498.0,1259.0,1305.0,1787.0,1536.0,1600.0,1906.0,1155.0
gene-VC_RS13080,host,gene-VC_RS13080,605.0,988.0,786.0,925.0,861.0,642.0,333.0,363.0,198.0
gene-VC_RS13395,host,atpE,,,,,,,2529.0,3133.0,1892.0
gene-VC_RS07590,host,gene-VC_RS07590,51.0,61.0,51.0,80.0,124.0,82.0,167.0,174.0,159.0
gene-VC_RS10910,host,pyrH,,,,,,,,,
gene-VC_RS17665,host,gene-VC_RS17665,641.0,1080.0,726.0,1768.0,2884.0,1826.0,1547.0,2438.0,1249.0
gene-VC_RS02890,host,rplS,,,3057.0,,,,,,
gene-VC_RS05155,host,gene-VC_RS05155,343.0,509.0,383.0,520.0,866.0,553.0,497.0,621.0,435.0
gene-VC_RS09660,host,pyk,476.0,599.0,587.0,555.0,709.0,548.0,839.0,896.0,580.0
gene-VC_RS07795,host,gene-VC_RS07795,352.0,486.0,451.0,344.0,479.0,361.0,343.0,409.0,248.0
gene-VC_RS17720,host,mlp37,325.0,474.0,413.0,422.0,532.0,469.0,736.0,814.0,581.0
gene-VC_RS02400,host,gshB,812.0,1231.0,910.0,814.0,1213.0,847.0,467.0,533.0,384.0
gene-VC_RS09775,host,gene-VC_RS09775,1069.0,1484.0,1356.0,2367.0,2945.0,2775.0,,,
gene-VC_RS03515,host,gene-VC_RS03515,710.0,955.0,877.0,778.0,1109.0,842.0,516.0,676.0,396.0
gene-VC_RS06405,host,gene-VC_RS06405,126.0,197.0,174.0,245.0,222.0,173.0,276.0,359.0,265.0
gene-VC_RS13940,host,vasJ,121.0,175.0,183.0,135.0,174.0,136.0,147.0,204.0,88.0
gene-VC_RS03115,host,gene-VC_RS03115,69.0,103.0,93.0,98.0,124.0,106.0,117.0,105.0,56.0
gene-VC_RS07145,host,gene-VC_RS07145,295.0,424.0,358.0,478.0,665.0,513.0,689.0,785.0,499.0
gene-VC_RS14720,host,intIA,351.0,484.0,479.0,459.0,604.0,514.0,788.0,937.0,644.0
gene-VC_RS10345,host,gene-VC_RS10345,947.0,1652.0,1210.0,1816.0,1769.0,1644.0,2152.0,2654.0,1889.0
gene-VC_RS12910,host,gene-VC_RS12910,941.0,1422.0,1254.0,1333.0,1588.0,1288.0,2875.0,1632.0,1107.0
gene-VC_RS12770,host,cysE,1332.0,2057.0,1816.0,1737.0,2379.0,1649.0,1363.0,1668.0,1129.0
