Geneid,Entity,Symbol,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3
gene-PA1769,host,gene-PA1769,1234.0,2031.0,1579.0,1312.0,2531.0,1221.0,893.0,1493.0,848.0,988.0,1367.0,1139.0
gene-PA0927,host,ldhA,350.0,520.0,420.0,323.0,551.0,332.0,222.0,413.0,311.0,264.0,359.0,356.0
gene-PA0077,host,icmF1,860.0,657.0,1129.0,652.0,637.0,968.0,647.0,467.0,1450.0,665.0,840.0,1740.0
gene-PA4727,host,pcnB,,,,,,,,,,,,
gene-PA5274,host,rnk,746.0,1247.0,1808.0,1481.0,,,1158.0,,,1118.0,1543.0,
gene-PA4853,host,fis,913.0,607.0,730.0,1314.0,3805.0,,,2465.0,1429.0,,,
gene-PA5347,host,gene-PA5347,408.0,1054.0,623.0,422.0,955.0,534.0,232.0,510.0,403.0,330.0,424.0,514.0
gene-PA3048,host,gene-PA3048,915.0,1173.0,768.0,1328.0,3120.0,,,2318.0,1669.0,1540.0,1922.0,2141.0
gene-PA1188,host,gene-PA1188,240.0,515.0,278.0,171.0,377.0,138.0,155.0,188.0,191.0,247.0,376.0,162.0
gene-PA1053,host,gene-PA1053,,,,,,,,,,,,
gene-PA1799,host,parR,352.0,442.0,235.0,374.0,806.0,438.0,309.0,468.0,232.0,318.0,363.0,359.0
gene-PA2191,host,exoY,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA4921,host,gene-PA4921,1056.0,1126.0,,1565.0,1302.0,911.0,433.0,815.0,406.0,405.0,443.0,455.0
gene-PA4265,host,tufA,,,,,,,,,,,,
gene-PA5369.3,host,gene-PA5369.3,512.0,481.0,603.0,792.0,943.0,1258.0,291.0,1031.0,389.0,707.0,718.0,640.0
gene-PA5514,host,gene-PA5514,242.0,364.0,319.0,180.0,396.0,237.0,126.0,228.0,273.0,146.0,195.0,218.0
gene-PA4577,host,gene-PA4577,,,,269.0,473.0,156.0,245.0,177.0,403.0,755.0,808.0,238.0
gene-PA0290,host,gene-PA0290,339.0,726.0,447.0,185.0,379.0,198.0,128.0,265.0,288.0,154.0,286.0,252.0
gene-PA1411,host,gene-PA1411,145.0,186.0,142.0,81.0,212.0,111.0,78.0,147.0,127.0,102.0,161.0,129.0
gene-PA1588,host,sucC,,,,,,,,,,,,
gene-PA1443,host,fliM,1364.0,2789.0,1856.0,1298.0,2389.0,1599.0,971.0,1399.0,1323.0,1101.0,1519.0,1492.0
gene-PA0447,host,gcdH,406.0,2266.0,427.0,347.0,1639.0,303.0,380.0,1145.0,425.0,349.0,948.0,356.0
gene-PA3259,host,gene-PA3259,331.0,848.0,463.0,282.0,606.0,359.0,193.0,338.0,323.0,175.0,342.0,321.0
gene-PA1197,host,gene-PA1197,580.0,1437.0,772.0,445.0,612.0,291.0,189.0,352.0,361.0,291.0,298.0,235.0
gene-PA2502,host,gene-PA2502,313.0,367.0,352.0,419.0,887.0,637.0,386.0,628.0,466.0,428.0,482.0,608.0
gene-PA3632,host,gene-PA3632,503.0,465.0,755.0,773.0,1061.0,729.0,393.0,834.0,499.0,436.0,440.0,592.0
gene-PA1806,host,fabI,345.0,584.0,1081.0,298.0,611.0,645.0,225.0,413.0,428.0,213.0,448.0,587.0
gene-PA5243,host,hemB,,,,,,,,,,,,
gene-PA2210,host,gene-PA2210,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA1893,host,gene-PA1893,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA3673,host,plsB,912.0,1045.0,955.0,924.0,2586.0,1852.0,962.0,1732.0,1489.0,971.0,1464.0,1683.0
gene-PA4142,host,gene-PA4142,110.0,168.0,49.0,84.0,118.0,35.0,30.0,58.0,39.0,31.0,56.0,40.0
gene-PA3080,host,gene-PA3080,195.0,399.0,245.0,306.0,550.0,601.0,373.0,622.0,560.0,235.0,519.0,760.0
gene-PA4107,host,gene-PA4107,16.0,36.0,29.0,10.0,30.0,11.0,6.0,11.0,9.0,6.0,14.0,10.0
gene-PA1428,host,gene-PA1428,94.0,225.0,291.0,211.0,626.0,267.0,92.0,302.0,124.0,65.0,186.0,85.0
gene-PA5393,host,gene-PA5393,57.0,124.0,91.0,36.0,60.0,52.0,27.0,43.0,44.0,25.0,42.0,51.0
gene-PA2890,host,atuE,20.0,103.0,40.0,23.0,111.0,22.0,13.0,44.0,26.0,12.0,25.0,32.0
gene-PA1068,host,gene-PA1068,798.0,818.0,743.0,723.0,1602.0,1616.0,819.0,978.0,1526.0,855.0,1156.0,2318.0
gene-PA4760,host,dnaJ,,,,,,,,,958.0,1188.0,,1212.0
gene-PA3439,host,folX,401.0,647.0,589.0,321.0,923.0,582.0,306.0,615.0,596.0,292.0,488.0,512.0
gene-PA3859,host,gene-PA3859,1220.0,1325.0,1424.0,471.0,809.0,596.0,352.0,358.0,516.0,541.0,515.0,394.0
gene-PA4940,host,gene-PA4940,764.0,972.0,1019.0,,3919.0,,,,1437.0,1466.0,1785.0,2161.0
gene-PA4293,host,pprA,114.0,334.0,212.0,214.0,490.0,339.0,114.0,262.0,141.0,123.0,140.0,192.0
gene-PA5053,host,hslV,1522.0,,2119.0,1283.0,,555.0,427.0,,315.0,460.0,1474.0,491.0
gene-PA5226,host,gene-PA5226,789.0,1665.0,1805.0,463.0,1123.0,681.0,356.0,551.0,725.0,412.0,714.0,609.0
gene-PA1548,host,gene-PA1548,702.0,749.0,592.0,665.0,1214.0,502.0,445.0,537.0,291.0,414.0,470.0,265.0
gene-PA2977,host,murB,733.0,948.0,503.0,963.0,1948.0,1748.0,886.0,1684.0,1214.0,872.0,1284.0,1515.0
gene-PA1666,host,gene-PA1666,509.0,219.0,87.0,450.0,237.0,75.0,472.0,145.0,122.0,404.0,231.0,131.0
gene-PA2154,host,gene-PA2154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA2465,host,gene-PA2465,16.0,28.0,16.0,12.0,19.0,10.0,12.0,9.0,20.0,11.0,30.0,22.0
gene-PA4414,host,murD,,,,,,,,,,,,
gene-PA1501,host,gene-PA1501,123.0,589.0,296.0,55.0,142.0,74.0,47.0,68.0,112.0,46.0,109.0,92.0
gene-PA1041,host,gene-PA1041,397.0,1067.0,342.0,151.0,273.0,59.0,105.0,93.0,84.0,272.0,268.0,54.0
gene-PA2396,host,pvdF,92.0,213.0,153.0,91.0,149.0,50.0,40.0,71.0,81.0,56.0,65.0,119.0
gene-PA4941,host,hflC,,,,,,,,,,,,
gene-PA2687,host,pfeS,112.0,151.0,106.0,88.0,122.0,112.0,237.0,147.0,374.0,72.0,244.0,312.0
gene-PA3239,host,gene-PA3239,238.0,338.0,326.0,168.0,570.0,272.0,156.0,427.0,465.0,170.0,294.0,511.0
gene-PA2197,host,gene-PA2197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA4122,host,gene-PA4122,315.0,630.0,47.0,628.0,1270.0,35.0,282.0,326.0,42.0,181.0,153.0,44.0
gene-PA0174,host,gene-PA0174,27.0,106.0,38.0,36.0,80.0,31.0,6.0,61.0,13.0,9.0,18.0,11.0
gene-PA4031,host,ppa,,2188.0,,,,,,,,,,
gene-PA4508,host,gene-PA4508,49.0,160.0,116.0,75.0,167.0,97.0,42.0,113.0,70.0,39.0,60.0,120.0
gene-PA3403a,host,gene-PA3403a,69.0,164.0,109.0,60.0,114.0,38.0,32.0,30.0,43.0,42.0,52.0,73.0
gene-PA3931,host,gene-PA3931,47.0,41.0,41.0,29.0,31.0,30.0,34.0,25.0,34.0,34.0,38.0,62.0
gene-PA1775,host,cmpX,942.0,1752.0,1875.0,1460.0,3118.0,2082.0,1173.0,2290.0,1818.0,1664.0,1993.0,1674.0
gene-PA2615,host,ftsK,,,,,,,,,,,,
gene-PA0829,host,gene-PA0829,97.0,157.0,155.0,112.0,133.0,56.0,31.0,101.0,79.0,40.0,60.0,59.0
gene-PA1110,host,gene-PA1110,258.0,506.0,456.0,348.0,704.0,432.0,219.0,450.0,398.0,243.0,362.0,363.0
gene-PA4167,host,gene-PA4167,45.0,69.0,34.0,32.0,121.0,37.0,18.0,51.0,37.0,22.0,34.0,45.0
gene-PA5337,host,rpoZ,,,,,,,,,,,,
gene-PA5530,host,gene-PA5530,1449.0,746.0,233.0,622.0,599.0,780.0,859.0,335.0,1619.0,1203.0,773.0,
gene-PA3803,host,gcpE,,2539.0,2488.0,,,,,,,,,
gene-PA2169,host,gene-PA2169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA2923,host,hisJ,20.0,29.0,8.0,10.0,20.0,2.0,8.0,9.0,11.0,13.0,8.0,12.0
gene-PA2764,host,gene-PA2764,1047.0,359.0,365.0,249.0,628.0,391.0,270.0,436.0,374.0,268.0,417.0,425.0
gene-PA5282,host,gene-PA5282,127.0,131.0,124.0,66.0,123.0,98.0,72.0,109.0,80.0,59.0,78.0,70.0
gene-PA1566,host,gene-PA1566,70.0,160.0,81.0,91.0,203.0,81.0,53.0,175.0,49.0,47.0,92.0,71.0
gene-PA3669,host,gene-PA3669,219.0,352.0,247.0,145.0,225.0,244.0,112.0,204.0,172.0,121.0,186.0,196.0
gene-PA1193,host,gene-PA1193,447.0,514.0,354.0,641.0,1598.0,1045.0,657.0,844.0,531.0,673.0,705.0,883.0
gene-PA3476,host,rhlI,1089.0,911.0,652.0,709.0,1316.0,618.0,472.0,651.0,542.0,411.0,408.0,332.0
gene-PA0622,host,gene-PA0622,,1665.0,,1344.0,1291.0,,1126.0,632.0,,988.0,874.0,
gene-PA2072,host,gene-PA2072,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA5255,host,algQ,,,,871.0,2877.0,1855.0,939.0,1242.0,1826.0,1228.0,2215.0,1549.0
gene-PA2682,host,gene-PA2682,150.0,199.0,171.0,119.0,231.0,111.0,73.0,137.0,135.0,91.0,136.0,150.0
gene-PA0542,host,gene-PA0542,1868.0,2598.0,2760.0,1104.0,2210.0,997.0,624.0,1124.0,934.0,724.0,977.0,805.0
gene-PA2096,host,gene-PA2096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA0492,host,gene-PA0492,53.0,162.0,1512.0,617.0,1082.0,614.0,600.0,,,443.0,1147.0,688.0
gene-PA2993,host,gene-PA2993,1212.0,1057.0,1032.0,948.0,962.0,711.0,894.0,1049.0,1390.0,941.0,1265.0,1208.0
gene-PA0587,host,gene-PA0587,970.0,,1850.0,1136.0,2422.0,327.0,270.0,588.0,316.0,477.0,446.0,244.0
gene-PA1174,host,napA,449.0,1338.0,393.0,349.0,609.0,145.0,137.0,206.0,136.0,252.0,194.0,126.0
gene-PA1730,host,gene-PA1730,200.0,405.0,203.0,254.0,387.0,147.0,119.0,182.0,90.0,142.0,150.0,87.0
gene-PA3490,host,gene-PA3490,221.0,360.0,240.0,401.0,729.0,506.0,265.0,476.0,344.0,312.0,359.0,468.0
gene-PA4676,host,gene-PA4676,573.0,677.0,825.0,431.0,1529.0,972.0,407.0,794.0,944.0,429.0,694.0,1180.0
gene-PA3976,host,thiE,739.0,888.0,609.0,575.0,1385.0,1008.0,563.0,781.0,856.0,561.0,794.0,918.0
gene-PA1650,host,gene-PA1650,258.0,633.0,272.0,209.0,836.0,561.0,167.0,471.0,459.0,158.0,336.0,195.0
gene-PA4841,host,gene-PA4841,790.0,2817.0,1165.0,655.0,1444.0,434.0,260.0,694.0,505.0,298.0,570.0,407.0
gene-PA3442,host,gene-PA3442,132.0,132.0,95.0,165.0,334.0,290.0,121.0,258.0,176.0,133.0,169.0,193.0
gene-PA1604,host,gene-PA1604,877.0,3052.0,2010.0,160.0,398.0,222.0,187.0,198.0,204.0,393.0,438.0,229.0
gene-PA2616,host,trxB1,,2519.0,,1199.0,3031.0,2226.0,1395.0,1858.0,2136.0,1594.0,,
gene-PA4476,host,gene-PA4476,1424.0,,2717.0,1486.0,2893.0,2531.0,1432.0,,,1349.0,,2385.0
gene-PA2905,host,cobH,379.0,248.0,113.0,304.0,648.0,384.0,353.0,484.0,377.0,306.0,545.0,467.0
gene-PA5183,host,gene-PA5183,248.0,381.0,558.0,374.0,817.0,409.0,158.0,354.0,314.0,146.0,200.0,421.0
gene-PA3226,host,gene-PA3226,484.0,1424.0,574.0,636.0,1275.0,509.0,309.0,568.0,346.0,267.0,395.0,430.0
gene-PA3811,host,hscB,1693.0,1402.0,1837.0,1768.0,3706.0,,,,,,2395.0,
gene-PA2748,host,gene-PA2748,267.0,447.0,264.0,225.0,510.0,310.0,176.0,291.0,304.0,205.0,293.0,247.0
gene-PA1930,host,gene-PA1930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA3424,host,gene-PA3424,143.0,304.0,163.0,174.0,308.0,151.0,67.0,171.0,133.0,79.0,86.0,84.0
gene-PA0528,host,gene-PA0528,178.0,379.0,311.0,491.0,893.0,341.0,120.0,567.0,116.0,110.0,307.0,261.0
gene-PA4362,host,gene-PA4362,164.0,657.0,333.0,145.0,318.0,99.0,70.0,177.0,131.0,125.0,134.0,75.0
gene-PA3231,host,gene-PA3231,25.0,72.0,60.0,23.0,50.0,23.0,11.0,17.0,24.0,10.0,16.0,12.0
gene-PA4132,host,gene-PA4132,558.0,703.0,749.0,269.0,536.0,730.0,518.0,403.0,558.0,460.0,944.0,730.0
gene-PA0016,host,trkA,668.0,1543.0,1095.0,1128.0,3276.0,1938.0,1023.0,2302.0,1503.0,1117.0,1505.0,1779.0
gene-PA0538,host,dsbB,228.0,347.0,341.0,165.0,494.0,290.0,120.0,278.0,315.0,165.0,592.0,272.0
gene-PA3237,host,gene-PA3237,25.0,57.0,50.0,30.0,57.0,20.0,22.0,67.0,,26.0,42.0,38.0
gene-PA5223,host,ubiH,,,,,3916.0,2580.0,,2374.0,1845.0,,2209.0,1857.0
gene-PA4660,host,phr,471.0,897.0,716.0,648.0,3352.0,1304.0,529.0,2381.0,774.0,545.0,1178.0,953.0
gene-PA5118,host,thiI,1489.0,1533.0,1812.0,,,,,,2111.0,,,
gene-PA1589,host,sucD,,,,,,,,,,,,
gene-PA1087,host,flgL,1477.0,,,1200.0,2539.0,2597.0,957.0,1544.0,1030.0,998.0,1263.0,1371.0
gene-PA1851,host,gene-PA1851,234.0,544.0,387.0,154.0,199.0,120.0,108.0,107.0,151.0,137.0,148.0,105.0
gene-PA0362,host,fdx1,717.0,743.0,1139.0,666.0,1631.0,1013.0,589.0,1012.0,731.0,620.0,923.0,856.0
gene-PA4573,host,gene-PA4573,127.0,264.0,177.0,176.0,255.0,213.0,124.0,162.0,69.0,134.0,147.0,138.0
gene-PA0628,host,gene-PA0628,1086.0,609.0,1567.0,569.0,422.0,1028.0,413.0,215.0,923.0,409.0,300.0,1307.0
gene-PA1450,host,gene-PA1450,164.0,222.0,213.0,172.0,347.0,324.0,133.0,253.0,317.0,170.0,225.0,257.0
