Geneid,Entity,Symbol,5_R1,5_R2,15_R1,15_R2,35_R1,35_R2
gene-PA0116,host,gene-PA0116,11.0,8.0,3.0,2.0,1.0,2.0
gene-PA4176,host,ppiC2,13.0,6.0,1.0,3.0,1.0,1.0
gene-PA0030,host,gene-PA0030,5.0,4.0,2.0,6.0,2.0,4.0
gene-PA0192,host,gene-PA0192,34.0,31.0,7.0,,5.0,19.0
gene-PA4704.2,host,prrF2,,,,20.0,,17.0
gene-PA3073,host,gene-PA3073,6.0,6.0,3.0,4.0,1.0,3.0
gene-PA5380,host,gbdR,15.0,15.0,9.0,5.0,4.0,8.0
gene-PA1142,host,gene-PA1142,8.0,3.0,3.0,1.0,0.0,3.0
gene-PA0043,host,gene-PA0043,15.0,16.0,8.0,9.0,1.0,13.0
gene-PA3569,host,mmsB,5.0,2.0,0.0,9.0,2.0,7.0
gene-PA0751,host,gene-PA0751,12.0,3.0,4.0,1.0,0.0,4.0
gene-PA4720,host,trmA,20.0,11.0,7.0,11.0,2.0,13.0
gene-PA0158,host,gene-PA0158,,,,,9.0,20.0
gene-PA3093,host,gene-PA3093,18.0,15.0,5.0,10.0,1.0,5.0
gene-PA3572,host,gene-PA3572,2.0,6.0,0.0,1.0,0.0,1.0
gene-PA1634,host,kdpB,8.0,8.0,3.0,7.0,3.0,11.0
gene-PA3185,host,gene-PA3185,15.0,12.0,6.0,4.0,7.0,5.0
gene-PA1129,host,gene-PA1129,2.0,4.0,0.0,0.0,1.0,1.0
gene-PA3097,host,xcpX,6.0,5.0,0.0,3.0,0.0,4.0
gene-PHIKZ060,phage,gene-PHIKZ060,,,,,,
gene-PA1022,host,gene-PA1022,6.0,4.0,1.0,3.0,0.0,2.0
gene-PA2142a,host,gene-PA2142a,1.0,4.0,0.0,2.0,0.0,3.0
gene-PA2500,host,gene-PA2500,7.0,4.0,3.0,4.0,1.0,4.0
gene-PA5012,host,waaF,20.0,13.0,3.0,11.0,1.0,3.0
gene-PA4942,host,hflK,,,,,6.0,
gene-PA2062,host,gene-PA2062,4.0,3.0,2.0,2.0,1.0,4.0
gene-PA1667,host,gene-PA1667,4.0,7.0,1.0,8.0,1.0,5.0
gene-PA1305,host,gene-PA1305,17.0,10.0,1.0,9.0,0.0,1.0
gene-PA2942,host,gene-PA2942,14.0,7.0,3.0,5.0,2.0,7.0
gene-PA5209,host,gene-PA5209,17.0,15.0,5.0,7.0,3.0,9.0
gene-PA3326,host,gene-PA3326,10.0,2.0,2.0,5.0,2.0,2.0
gene-PA1907,host,gene-PA1907,7.0,9.0,4.0,7.0,0.0,7.0
gene-PA5331,host,pyrE,18.0,14.0,4.0,7.0,6.0,9.0
gene-PA5425,host,purK,26.0,21.0,10.0,6.0,2.0,10.0
gene-PA4156,host,gene-PA4156,17.0,30.0,3.0,20.0,3.0,11.0
gene-PA1551,host,gene-PA1551,20.0,20.0,7.0,9.0,4.0,8.0
gene-PA4621,host,gene-PA4621,41.0,18.0,8.0,20.0,7.0,
gene-PA3587,host,metR,5.0,5.0,2.0,9.0,2.0,4.0
gene-PA2194,host,hcnB,7.0,3.0,2.0,3.0,1.0,4.0
gene-PA4570,host,gene-PA4570,7.0,2.0,3.0,3.0,0.0,1.0
gene-PA1746,host,gene-PA1746,4.0,1.0,1.0,1.0,0.0,0.0
gene-PA2153,host,glgB,15.0,6.0,4.0,14.0,0.0,7.0
gene-PA2817,host,gene-PA2817,18.0,12.0,4.0,4.0,1.0,3.0
gene-PA1695,host,pscP,24.0,8.0,1.0,8.0,1.0,7.0
gene-PA0573,host,gene-PA0573,2.0,2.0,0.0,3.0,0.0,0.0
gene-PA4601,host,morA,,,14.0,22.0,8.0,
gene-PA4677,host,gene-PA4677,6.0,8.0,2.0,6.0,1.0,2.0
gene-PA4543,host,gene-PA4543,12.0,12.0,3.0,0.0,1.0,3.0
gene-PA4932,host,rplI,,,,20.0,10.0,12.0
gene-PA3797,host,gene-PA3797,10.0,8.0,0.0,2.0,2.0,8.0
gene-PA1594,host,gene-PA1594,3.0,3.0,0.0,3.0,1.0,2.0
gene-PA1636,host,kdpD,12.0,17.0,1.0,9.0,1.0,4.0
gene-PA2003,host,bdhA,4.0,5.0,1.0,1.0,1.0,3.0
gene-PA3947,host,rocR,14.0,9.0,5.0,6.0,2.0,8.0
gene-PA2819.1,host,gene-PA2819.1,,,,,,
gene-PA1211,host,gene-PA1211,4.0,3.0,0.0,2.0,2.0,3.0
gene-PA2382,host,lldA,11.0,8.0,1.0,2.0,1.0,6.0
gene-PA2602,host,gene-PA2602,1.0,6.0,3.0,1.0,1.0,3.0
gene-PA0967,host,ruvB,18.0,13.0,8.0,7.0,3.0,5.0
gene-PA1285,host,gene-PA1285,12.0,6.0,4.0,4.0,2.0,2.0
gene-PHIKZ_p63,phage,gene-PHIKZ_p63,14.0,7.0,,,9.0,
gene-PA1464,host,gene-PA1464,13.0,16.0,2.0,9.0,1.0,12.0
gene-PA2044,host,gene-PA2044,16.0,16.0,3.0,7.0,3.0,12.0
gene-PHIKZ001,phage,gene-PHIKZ001,5.0,6.0,,,,
gene-PHIKZ219,phage,gene-PHIKZ219,30.0,34.0,,,,
gene-PA2368,host,gene-PA2368,3.0,0.0,1.0,0.0,0.0,1.0
gene-PA4050,host,pgpA,14.0,18.0,3.0,11.0,3.0,8.0
gene-PA4524,host,nadC,19.0,8.0,3.0,7.0,6.0,
gene-PA4006,host,nadD,23.0,23.0,7.0,9.0,0.0,3.0
gene-PA0836.1,host,gene-PA0836.1,1.0,0.0,1.0,0.0,0.0,2.0
gene-PA1375,host,pdxB,20.0,11.0,3.0,0.0,1.0,4.0
gene-PA1738,host,gene-PA1738,7.0,3.0,1.0,4.0,4.0,4.0
gene-PHIKZ077,phage,gene-PHIKZ077,36.0,,,,,
gene-PA0181,host,gene-PA0181,16.0,17.0,3.0,8.0,0.0,9.0
gene-PA5111,host,gloA3,14.0,8.0,3.0,10.0,5.0,2.0
gene-PA0127,host,gene-PA0127,3.0,5.0,3.0,6.0,0.0,7.0
gene-PA5291,host,gene-PA5291,41.0,25.0,13.0,19.0,3.0,21.0
gene-PA3828,host,gene-PA3828,30.0,20.0,13.0,15.0,4.0,8.0
gene-PA1579,host,gene-PA1579,11.0,14.0,6.0,8.0,3.0,8.0
gene-PA2444,host,glyA2,8.0,10.0,2.0,4.0,3.0,9.0
gene-PHIKZ106,phage,gene-PHIKZ106,,,,,10.0,
gene-PA1351,host,gene-PA1351,6.0,9.0,4.0,5.0,2.0,0.0
gene-PA5230,host,gene-PA5230,15.0,15.0,5.0,4.0,1.0,7.0
gene-PA0871,host,phhB,9.0,3.0,2.0,3.0,0.0,5.0
gene-PA2748,host,gene-PA2748,3.0,2.0,0.0,3.0,1.0,1.0
gene-PHIKZ277,phage,gene-PHIKZ277,,,,,,
gene-PA4289,host,gene-PA4289,19.0,4.0,1.0,4.0,0.0,
gene-PA1671,host,stk1,3.0,4.0,4.0,3.0,2.0,1.0
gene-PA1084,host,flgI,28.0,16.0,3.0,9.0,3.0,4.0
gene-PA4044,host,dxs,,,15.0,,,13.0
gene-PA1115,host,gene-PA1115,22.0,19.0,7.0,25.0,8.0,17.0
gene-PA0746,host,gene-PA0746,6.0,4.0,3.0,4.0,0.0,5.0
gene-PA1172,host,napC,3.0,4.0,1.0,3.0,1.0,2.0
gene-PA5548,host,gene-PA5548,18.0,11.0,6.0,7.0,0.0,9.0
gene-PA0068,host,gene-PA0068,10.0,5.0,3.0,6.0,2.0,4.0
gene-PA2785,host,gene-PA2785,0.0,1.0,1.0,0.0,0.0,2.0
gene-PA5514,host,gene-PA5514,9.0,7.0,2.0,9.0,2.0,5.0
gene-PA3901,host,fecA,36.0,25.0,8.0,19.0,7.0,23.0
gene-PA5277,host,lysA,21.0,29.0,10.0,17.0,7.0,11.0
gene-PA3702,host,wspR,17.0,5.0,6.0,8.0,1.0,7.0
gene-PA0160,host,gene-PA0160,9.0,6.0,1.0,5.0,2.0,2.0
gene-PA0271,host,gene-PA0271,2.0,2.0,2.0,1.0,2.0,2.0
gene-PA2616,host,trxB1,28.0,20.0,12.0,8.0,4.0,10.0
gene-PA4008,host,gene-PA4008,,4.0,1.0,4.0,3.0,5.0
gene-PA4183,host,gene-PA4183,2.0,0.0,1.0,0.0,1.0,3.0
gene-PA3098,host,xcpW,8.0,2.0,1.0,2.0,0.0,1.0
gene-PA2868,host,gene-PA2868,4.0,2.0,0.0,2.0,0.0,4.0
gene-PA0229,host,pcaT,23.0,24.0,12.0,12.0,4.0,20.0
gene-PA3570,host,mmsA,12.0,11.0,4.0,11.0,0.0,5.0
gene-PA4262,host,rplD,,,15.0,14.0,6.0,15.0
gene-PA3466,host,gene-PA3466,16.0,14.0,7.0,7.0,4.0,10.0
gene-PA5187,host,gene-PA5187,10.0,18.0,6.0,22.0,4.0,12.0
gene-PA0558,host,gene-PA0558,10.0,2.0,0.0,4.0,4.0,3.0
gene-PA4145a,host,gene-PA4145a,7.0,4.0,1.0,5.0,0.0,5.0
gene-PA3040,host,gene-PA3040,6.0,5.0,10.0,0.0,3.0,5.0
gene-PA5518,host,gene-PA5518,29.0,20.0,10.0,12.0,2.0,16.0
gene-PA3568,host,gene-PA3568,14.0,,3.0,5.0,4.0,7.0
gene-PA0132,host,gene-PA0132,24.0,19.0,7.0,13.0,1.0,14.0
gene-PA1347,host,gene-PA1347,4.0,8.0,2.0,5.0,0.0,5.0
gene-PA3031,host,gene-PA3031,37.0,,,,8.0,6.0
gene-PA1708,host,popB,,,8.0,3.0,2.0,6.0
gene-PA5018,host,msrA,17.0,8.0,3.0,4.0,3.0,1.0
gene-PA1239,host,gene-PA1239,4.0,7.0,1.0,6.0,0.0,0.0
gene-PA3021,host,gene-PA3021,4.0,4.0,1.0,5.0,0.0,4.0
gene-PA1128,host,gene-PA1128,10.0,3.0,2.0,6.0,4.0,2.0
gene-PA1342,host,gene-PA1342,18.0,10.0,10.0,10.0,2.0,8.0
gene-PHIKZ123,phage,gene-PHIKZ123,,,,,,
gene-PA0488,host,gene-PA0488,3.0,2.0,0.0,0.0,0.0,0.0
gene-PA4034,host,aqpZ,2.0,1.0,0.0,6.0,1.0,7.0
gene-PA3374,host,gene-PA3374,13.0,9.0,1.0,2.0,0.0,6.0
gene-PA2492,host,mexT,14.0,12.0,4.0,9.0,6.0,5.0
gene-PA3977,host,hemL,27.0,16.0,10.0,9.0,2.0,9.0
gene-PA2465,host,gene-PA2465,10.0,8.0,0.0,6.0,0.0,5.0
gene-PA4349,host,gene-PA4349,10.0,1.0,1.0,8.0,2.0,4.0
gene-PA2077,host,gene-PA2077,15.0,8.0,1.0,7.0,1.0,1.0
gene-PA1702,host,gene-PA1702,6.0,7.0,2.0,1.0,0.0,1.0
gene-PA1248,host,aprF,8.0,9.0,4.0,9.0,2.0,7.0
gene-PA1899,host,phzA2,3.0,5.0,1.0,2.0,0.0,1.0
gene-PA2418,host,gene-PA2418,5.0,8.0,6.0,5.0,0.0,2.0
gene-PA3551,host,algA,13.0,12.0,6.0,7.0,1.0,1.0
gene-PA4114,host,gene-PA4114,7.0,14.0,4.0,7.0,0.0,3.0
gene-PA4141,host,gene-PA4141,24.0,31.0,7.0,7.0,2.0,4.0
gene-PHIKZ070,phage,gene-PHIKZ070,,,,,,
gene-PA0658,host,gene-PA0658,3.0,4.0,2.0,1.0,0.0,4.0
gene-PA1757,host,thrH,7.0,8.0,6.0,8.0,1.0,4.0
gene-PA1414,host,gene-PA1414,1.0,3.0,4.0,0.0,0.0,0.0
gene-PA1797a,host,gene-PA1797a,2.0,4.0,6.0,1.0,1.0,3.0
gene-PA0085,host,hcp1,12.0,10.0,14.0,5.0,2.0,5.0
gene-PA2438,host,gene-PA2438,2.0,6.0,1.0,3.0,0.0,1.0
gene-PA2305,host,ambB,25.0,19.0,5.0,21.0,5.0,7.0
gene-PA4495,host,gene-PA4495,9.0,7.0,2.0,2.0,4.0,12.0
gene-PA0313,host,gene-PA0313,10.0,8.0,1.0,10.0,3.0,7.0
gene-PA5253,host,algP,25.0,,11.0,16.0,10.0,13.0
gene-PA0950,host,gene-PA0950,7.0,8.0,6.0,5.0,4.0,0.0
gene-PA5384,host,gene-PA5384,3.0,5.0,1.0,4.0,0.0,7.0
gene-PA2188,host,gene-PA2188,8.0,5.0,3.0,5.0,1.0,5.0
gene-PA3116,host,gene-PA3116,16.0,13.0,4.0,9.0,4.0,7.0
gene-PA1662,host,gene-PA1662,9.0,10.0,5.0,10.0,0.0,13.0
gene-PA1101,host,fliF,39.0,34.0,8.0,11.0,5.0,10.0
gene-PA2429,host,gene-PA2429,0.0,5.0,0.0,0.0,0.0,1.0
gene-PA3848,host,gene-PA3848,15.0,6.0,6.0,5.0,2.0,7.0
gene-PA0423,host,pasP,32.0,18.0,13.0,14.0,5.0,9.0
gene-PA4409,host,ftsQ,22.0,24.0,7.0,16.0,5.0,12.0
gene-PA2519,host,xylS,2.0,4.0,4.0,2.0,0.0,3.0
gene-PA1458,host,gene-PA1458,37.0,28.0,13.0,15.0,,14.0
gene-PHIKZ218,phage,gene-PHIKZ218,3.0,6.0,,,,
gene-PA0682,host,gene-PA0682,3.0,2.0,1.0,1.0,1.0,4.0
gene-PA1408,host,gene-PA1408,15.0,13.0,3.0,8.0,0.0,12.0
gene-PA2403,host,gene-PA2403,16.0,15.0,2.0,15.0,0.0,7.0
gene-PA3368,host,gene-PA3368,,,15.0,22.0,4.0,4.0
gene-PHIKZ_p36,phage,gene-PHIKZ_p36,31.0,34.0,10.0,12.0,3.0,
gene-PA4772,host,gene-PA4772,20.0,27.0,4.0,12.0,1.0,18.0
gene-PA3129,host,gene-PA3129,19.0,11.0,7.0,7.0,0.0,5.0
gene-PA5159,host,gene-PA5159,11.0,12.0,2.0,11.0,4.0,10.0
gene-PA4771,host,lldD,13.0,8.0,5.0,12.0,1.0,10.0
gene-PA5295,host,gene-PA5295,29.0,20.0,6.0,9.0,4.0,16.0
gene-PA4596,host,gene-PA4596,2.0,3.0,1.0,8.0,1.0,4.0
gene-PA1844,host,gene-PA1844,1.0,4.0,0.0,1.0,0.0,1.0
gene-PA1730,host,gene-PA1730,9.0,12.0,2.0,10.0,1.0,11.0
gene-PA5397,host,gene-PA5397,3.0,1.0,1.0,6.0,0.0,2.0
gene-PA0764,host,mucB,17.0,28.0,3.0,4.0,5.0,5.0
gene-PA4916,host,gene-PA4916,12.0,10.0,4.0,5.0,1.0,4.0
gene-PA3675,host,gene-PA3675,12.0,7.0,3.0,7.0,1.0,4.0
gene-PA0484,host,gene-PA0484,7.0,4.0,2.0,4.0,2.0,4.0
gene-PA2864,host,gene-PA2864,6.0,6.0,1.0,6.0,1.0,4.0
gene-PA1402,host,gene-PA1402,3.0,2.0,1.0,5.0,0.0,4.0
gene-PA4412,host,murG,,32.0,10.0,18.0,6.0,1.0
gene-PA4681,host,gene-PA4681,11.0,2.0,0.0,4.0,2.0,6.0
gene-PA3384,host,phnC,3.0,5.0,1.0,3.0,1.0,7.0
gene-PA5071,host,gene-PA5071,8.0,12.0,1.0,3.0,0.0,4.0
gene-PA1846,host,cti,30.0,21.0,7.0,15.0,4.0,14.0
gene-PA2011,host,liuE,10.0,5.0,0.0,3.0,1.0,5.0
gene-PA4107,host,gene-PA4107,13.0,4.0,1.0,5.0,0.0,0.0
gene-PHIKZ_p33,phage,gene-PHIKZ_p33,,,,11.0,4.0,
gene-PA0443,host,gene-PA0443,18.0,17.0,7.0,12.0,2.0,9.0
gene-PA2736,host,gene-PA2736,12.0,11.0,4.0,8.0,1.0,1.0
gene-PHIKZ208,phage,gene-PHIKZ208,,,,,,
gene-PA1042,host,gene-PA1042,4.0,1.0,0.0,0.0,1.0,2.0
gene-PHIKZ_p08,phage,gene-PHIKZ_p08,22.0,19.0,,,,
gene-PA4231,host,pchA,8.0,14.0,2.0,13.0,0.0,10.0
gene-PA2333,host,gene-PA2333,11.0,9.0,2.0,11.0,3.0,6.0
gene-PA2709,host,cysK,5.0,7.0,4.0,4.0,4.0,6.0
gene-PA4384,host,gene-PA4384,5.0,8.0,1.0,2.0,2.0,3.0
gene-PHIKZ289,phage,gene-PHIKZ289,,,,,7.0,
gene-PA2350,host,gene-PA2350,7.0,5.0,0.0,7.0,1.0,3.0
gene-PA0420,host,bioA,34.0,22.0,9.0,24.0,4.0,17.0
gene-PA0763,host,mucA,28.0,22.0,,,,11.0
gene-PA3376,host,gene-PA3376,4.0,8.0,2.0,6.0,1.0,3.0
gene-PA2576,host,gene-PA2576,3.0,2.0,1.0,0.0,0.0,2.0
gene-PA1864,host,gene-PA1864,3.0,3.0,0.0,4.0,0.0,2.0
gene-PA4625,host,gene-PA4625,39.0,,,,8.0,
gene-PA1599,host,gene-PA1599,5.0,6.0,1.0,5.0,0.0,2.0
gene-PA1038,host,gene-PA1038,3.0,2.0,0.0,0.0,0.0,3.0
gene-PA5075,host,gene-PA5075,18.0,9.0,4.0,5.0,3.0,11.0
gene-PA4905,host,vanB,9.0,6.0,3.0,2.0,0.0,5.0
gene-PA4023,host,gene-PA4023,17.0,20.0,4.0,10.0,,10.0
gene-PA4690a,host,gene-PA4690a,8.0,4.0,7.0,4.0,1.0,8.0
gene-PA4933,host,gene-PA4933,,,,,10.0,17.0
gene-PA1990,host,pqqH,17.0,9.0,1.0,10.0,1.0,6.0
gene-PA1071,host,braF,8.0,6.0,1.0,1.0,0.0,3.0
gene-PA1770,host,ppsA,,,,,,
gene-PA4203,host,gene-PA4203,8.0,5.0,4.0,3.0,0.0,2.0
gene-PA5502,host,gene-PA5502,25.0,6.0,4.0,5.0,5.0,3.0
gene-PA2371,host,gene-PA2371,10.0,20.0,2.0,3.0,2.0,6.0
gene-PA4545,host,comL,,,,,,18.0
gene-PA2312,host,gene-PA2312,12.0,8.0,0.0,2.0,0.0,2.0
gene-PA3115,host,fimV,,,,,,
gene-PA4098,host,gene-PA4098,8.0,10.0,0.0,7.0,,2.0
gene-PA1307,host,gene-PA1307,20.0,10.0,2.0,1.0,2.0,3.0
gene-PA4312,host,gene-PA4312,9.0,6.0,3.0,3.0,1.0,3.0
gene-PA0018,host,fmt,22.0,11.0,4.0,7.0,2.0,10.0
gene-PA3493,host,gene-PA3493,10.0,4.0,4.0,3.0,1.0,4.0
gene-PA3537,host,argF,20.0,15.0,5.0,7.0,4.0,7.0
gene-PA5556,host,atpA,,,,,,
gene-PA0279,host,gene-PA0279,8.0,6.0,5.0,3.0,1.0,3.0
gene-PA0231,host,pcaD,4.0,14.0,1.0,3.0,0.0,3.0
gene-PA0101,host,gene-PA0101,7.0,10.0,5.0,1.0,1.0,10.0
gene-PHIKZ157,phage,gene-PHIKZ157,18.0,11.0,,,,
gene-PA1720,host,pscG,12.0,12.0,1.0,0.0,0.0,1.0
gene-PA1964,host,gene-PA1964,29.0,18.0,4.0,9.0,4.0,7.0
gene-PA1552,host,ccoP1,,,,7.0,1.0,10.0
gene-PA4276,host,secE,,,,22.0,5.0,7.0
gene-PA4240,host,rpsK,,,,22.0,7.0,17.0
gene-PA3990,host,gene-PA3990,8.0,4.0,3.0,6.0,1.0,2.0
gene-PA1096,host,gene-PA1096,7.0,5.0,8.0,9.0,3.0,7.0
gene-PA1083,host,flgH,12.0,8.0,2.0,2.0,0.0,6.0
gene-PA3815,host,iscR,24.0,16.0,15.0,15.0,5.0,7.0
gene-PA3126,host,ibpA,30.0,23.0,,20.0,7.0,14.0
gene-PA2242,host,pslL,14.0,10.0,2.0,3.0,1.0,4.0
gene-PA0184,host,gene-PA0184,12.0,15.0,4.0,9.0,1.0,8.0
gene-PA2936,host,gene-PA2936,2.0,2.0,3.0,5.0,0.0,3.0
gene-PA3396,host,nosL,3.0,5.0,1.0,2.0,1.0,3.0
gene-PHIKZ_p82,phage,gene-PHIKZ_p82,2.0,5.0,1.0,5.0,0.0,16.0
gene-PA4585,host,rtcA,6.0,1.0,0.0,5.0,1.0,10.0
gene-PA3658,host,glnD,27.0,,12.0,20.0,7.0,7.0
gene-PA3393,host,nosD,13.0,11.0,3.0,10.0,1.0,6.0
gene-PA2644,host,nuoI,9.0,9.0,4.0,6.0,0.0,4.0
gene-PHIKZ293,phage,gene-PHIKZ293,0.0,2.0,,,,
gene-PA0356,host,gene-PA0356,8.0,7.0,5.0,4.0,3.0,9.0
gene-PA3072,host,gene-PA3072,5.0,1.0,0.0,1.0,1.0,0.0
gene-PA0407,host,gshB,38.0,22.0,14.0,12.0,2.0,5.0
gene-PA1796.4,host,gene-PA1796.4,,,,,9.0,4.0
gene-PA3721,host,nalC,6.0,8.0,3.0,3.0,1.0,4.0
gene-PA1887,host,gene-PA1887,6.0,4.0,2.0,2.0,2.0,0.0
gene-PHIKZ026,phage,gene-PHIKZ026,22.0,30.0,,,,
gene-PA4052,host,nusB,16.0,20.0,6.0,8.0,0.0,5.0
gene-PA4405,host,gene-PA4405,6.0,8.0,2.0,8.0,0.0,4.0
gene-PA5394,host,cls,21.0,14.0,3.0,8.0,6.0,14.0
gene-PA0165,host,gene-PA0165,33.0,21.0,12.0,12.0,3.0,11.0
gene-PA2819.2,host,gene-PA2819.2,,,,,,
gene-PA3101,host,xcpT,10.0,7.0,0.0,4.0,0.0,7.0
gene-PHIKZ291,phage,gene-PHIKZ291,,,,,6.0,
gene-PA1134,host,gene-PA1134,1.0,2.0,1.0,1.0,3.0,1.0
gene-PHIKZ082,phage,gene-PHIKZ082,23.0,22.0,,,,
gene-PA1489,host,gene-PA1489,3.0,9.0,4.0,2.0,1.0,6.0
gene-PA5124,host,ntrB,10.0,13.0,4.0,9.0,1.0,4.0
gene-PA1270,host,gene-PA1270,15.0,12.0,2.0,11.0,3.0,14.0
gene-PA2891,host,atuF,14.0,4.0,3.0,7.0,2.0,11.0
gene-PA0739,host,gene-PA0739,9.0,6.0,1.0,3.0,3.0,9.0
gene-PA0646,host,gene-PA0646,8.0,10.0,4.0,3.0,3.0,7.0
gene-PA5004,host,gene-PA5004,26.0,30.0,10.0,16.0,1.0,15.0
gene-PA4477,host,cafA,26.0,17.0,9.0,6.0,7.0,9.0
gene-PA0456,host,gene-PA0456,,,,,,
gene-PA2971,host,gene-PA2971,,,,,,19.0
gene-PA0592,host,ksgA,13.0,13.0,7.0,4.0,1.0,9.0
gene-PA3987,host,leuS,,,,,,
gene-PA2150,host,gene-PA2150,10.0,5.0,1.0,4.0,1.0,3.0
gene-PA2901,host,gene-PA2901,14.0,6.0,6.0,8.0,3.0,4.0
gene-PA0897,host,aruG,24.0,17.0,3.0,7.0,1.0,6.0
gene-PA0714,host,gene-PA0714,2.0,4.0,1.0,0.0,0.0,2.0
gene-PA0798,host,pmtA,3.0,5.0,1.0,3.0,0.0,
gene-PA5002,host,gene-PA5002,34.0,24.0,11.0,14.0,2.0,12.0
gene-PHIKZ204,phage,gene-PHIKZ204,12.0,11.0,,,6.0,
gene-PA2928,host,gene-PA2928,13.0,7.0,3.0,12.0,2.0,3.0
gene-PA2238,host,pslH,6.0,3.0,4.0,4.0,0.0,2.0
gene-PA2838,host,gene-PA2838,2.0,2.0,0.0,1.0,1.0,4.0
gene-PA0327,host,gene-PA0327,11.0,8.0,3.0,16.0,2.0,7.0
gene-PA0186,host,gene-PA0186,13.0,4.0,3.0,4.0,4.0,2.0
gene-PA0243,host,gene-PA0243,14.0,8.0,3.0,10.0,2.0,9.0
gene-PA1207,host,kefB,18.0,19.0,5.0,13.0,2.0,11.0
gene-PA2596,host,gene-PA2596,4.0,4.0,0.0,2.0,0.0,3.0
gene-PA1642,host,selD,11.0,10.0,5.0,10.0,3.0,3.0
gene-PA2407,host,gene-PA2407,10.0,9.0,1.0,6.0,0.0,7.0
gene-PA4629,host,gene-PA4629,13.0,8.0,3.0,4.0,1.0,10.0
gene-PA0533,host,gene-PA0533,18.0,10.0,7.0,9.0,0.0,20.0
gene-PA1243,host,gene-PA1243,28.0,20.0,4.0,16.0,2.0,7.0
gene-PA0502,host,gene-PA0502,9.0,12.0,2.0,4.0,2.0,3.0
gene-PA0378,host,gene-PA0378,12.0,12.0,1.0,8.0,0.0,7.0
gene-PA0790,host,gene-PA0790,4.0,2.0,0.0,5.0,0.0,7.0
gene-PA5409,host,gene-PA5409,6.0,8.0,1.0,4.0,0.0,6.0
gene-PA3600,host,gene-PA3600,0.0,1.0,1.0,2.0,0.0,0.0
gene-PA0966,host,ruvA,16.0,13.0,8.0,11.0,4.0,6.0
gene-PA1553,host,ccoO1,23.0,32.0,8.0,2.0,2.0,9.0
