Geneid,Entity,Symbol,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3
gene-CPT_phageK_gp165,phage,gene-CPT_phageK_gp165,0.0,0.0,0.6931471805599453,6.263398262591624,1.791759469228055,0.6931471805599453,2.0794415416798357,1.0986122886681098,1.3862943611198906,4.51085950651685,3.091042453358316,5.198497031265826,6.234410725718371,6.267200548541362,6.0867747269123065,9.02437217426203,8.197814032221203,,,,
gene-SAURSH1000_RS07470,host,hrcA,8.168202930236053,6.660575149839686,8.290292591224315,8.471986598578159,6.738152494595957,8.511577452630602,8.128880142125638,6.715383386334681,8.066207568006265,8.047189562170502,7.083387847625295,7.396948602621014,7.392647520721623,6.698268054115413,6.777646593635117,5.983936280687191,5.8289456176102075,6.270988431858299,5.700443573390687,6.09807428216624,5.940171252720432
gene-SAURSH1000_RS05125,host,srtB,3.1354942159291497,2.6390573296152584,3.2188758248682006,3.8066624897703196,2.8903717578961645,3.4657359027997265,3.6109179126442243,2.995732273553991,2.995732273553991,3.7376696182833684,2.9444389791664403,3.044522437723423,2.772588722239781,3.091042453358316,2.0794415416798357,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.6094379124341003,1.6094379124341003,0.6931471805599453
gene-SAURSH1000_RS09780,host,gene-SAURSH1000_RS09780,6.342121418721152,5.3706380281276624,5.327876168789581,5.796057750765372,5.720311776607412,5.123963979403259,5.58724865840025,5.583496308781699,5.627621113690637,5.564520407322694,5.8664680569332965,5.0369526024136295,5.003946305945459,6.028278520230698,3.828641396489095,5.0238805208462765,4.04305126783455,3.5263605246161616,4.61512051684126,4.31748811353631,3.4339872044851463
gene-SAURSH1000_RS11700,host,gene-SAURSH1000_RS11700,2.0794415416798357,3.258096538021482,2.9444389791664403,2.8903717578961645,2.995732273553991,2.833213344056216,2.70805020110221,3.5553480614894135,2.995732273553991,3.295836866004329,3.1354942159291497,2.302585092994046,3.091042453358316,3.044522437723423,2.0794415416798357,1.0986122886681098,2.1972245773362196,1.0986122886681098,1.6094379124341003,1.791759469228055,0.6931471805599453
gene-SAURSH1000_RS12025,host,gene-SAURSH1000_RS12025,3.5553480614894135,3.4339872044851463,3.4011973816621555,4.1588830833596715,3.7612001156935624,3.912023005428146,4.0943445622221,3.8501476017100584,3.1354942159291497,4.23410650459726,4.143134726391533,2.995732273553991,3.5553480614894135,3.828641396489095,2.772588722239781,2.4849066497880004,2.9444389791664403,1.3862943611198906,2.6390573296152584,2.3978952727983707,1.6094379124341003
gene-SAURSH1000_RS01765,host,guaB,7.951207156472972,7.591357046698551,7.845024417241484,8.118505067587098,7.8838232148921525,7.826842098158293,8.33423142973486,8.34972083747249,7.76046702921342,8.209308411646937,8.771059915373288,7.243512974665482,7.442492722794441,8.345692873253865,6.566672429803241,6.464588303689961,6.82001636467413,5.5909869805108565,6.056784013228625,6.725033642166843,5.262690188904886
gene-SAURSH1000_RS09190,host,gene-SAURSH1000_RS09190,6.835184586147301,6.738152494595957,7.202661196523238,7.155396301896734,6.803505257608338,7.277247726631484,7.288927694521257,6.8690144506657065,7.104144092987527,7.197435354096591,7.00669522683704,6.317164686747284,6.588926477533519,6.977281341630747,5.863631175598097,5.3230099791384085,5.68697535633982,5.170483995038151,4.890349128221754,5.648974238161206,4.543294782270004
gene-SAURSH1000_RS10060,host,prmC,6.8885724595653635,6.828712071641684,6.78105762593618,6.985641817639208,7.116394144093465,6.759255270663693,7.163946684342547,7.175489713624222,6.78332520060396,6.837332814685591,7.163946684342547,6.0867747269123065,6.023447592961033,6.836259277277067,4.948759890378168,5.3612921657094255,5.424950017481403,4.442651256490317,4.90527477843843,5.594711379601839,4.007333185232471
gene-SAURSH1000_RS10655,host,gene-SAURSH1000_RS10655,5.5053315359323625,5.831882477283517,5.5093883366279774,5.476463551931511,5.968707559985366,5.429345628954441,5.831882477283517,5.7745515455444085,5.332718793265369,5.556828061699537,5.886104031450156,4.584967478670572,4.941642422609304,5.746203190540153,4.02535169073515,4.04305126783455,4.3694478524670215,3.2188758248682006,3.970291913552122,4.624972813284271,2.833213344056216
gene-SAURSH1000_RS02790,host,gene-SAURSH1000_RS02790,4.276666119016055,4.762173934797756,4.718498871295094,5.10594547390058,4.574710978503383,4.812184355372417,5.3981627015177525,4.867534450455582,4.867534450455582,5.641907070938114,5.3230099791384085,4.060443010546419,5.19295685089021,5.659482215759621,3.9889840465642745,3.6375861597263857,4.1588830833596715,2.833213344056216,3.1780538303479458,4.23410650459726,2.0794415416798357
gene-SAURSH1000_RS12115,host,gene-SAURSH1000_RS12115,5.802118375377063,5.6131281063880705,7.200424892944957,5.717027701406222,4.442651256490317,6.919683849847411,5.652489180268651,4.2626798770413155,5.940171252720432,6.021023349349527,4.584967478670572,5.442417710521793,6.959398512133975,6.0473721790462776,5.605802066295998,5.814130531825066,5.659482215759621,5.017279836814924,4.983606621708336,6.066108090103747,4.02535169073515
gene-SAURSH1000_RS10580,host,gene-SAURSH1000_RS10580,3.9512437185814275,4.61512051684126,4.61512051684126,4.836281906951478,4.276666119016055,4.465908118654584,5.030437921392435,4.59511985013459,4.634728988229636,5.19295685089021,4.820281565605037,4.060443010546419,4.6913478822291435,4.718498871295094,3.5263605246161616,3.4011973816621555,3.784189633918261,2.1972245773362196,3.091042453358316,3.784189633918261,2.1972245773362196
gene-SAURSH1000_RS11660,host,gene-SAURSH1000_RS11660,6.663132695990803,7.827639546366422,6.754604099487962,7.393263094763838,7.215239978730097,6.835184586147301,7.392031567514591,6.97914527506881,7.087573705557973,7.406103381237015,6.42648845745769,6.594413459749778,7.163946684342547,6.244166900663736,5.996452088619021,5.6937321388027,5.564520407322694,5.247024072160486,5.429345628954441,5.5134287461649825,4.634728988229636
gene-SAURSH1000_RS12855,host,gene-SAURSH1000_RS12855,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,,0.6931471805599453,0.6931471805599453,,1.0986122886681098,0.0,0.6931471805599453,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-SAURSH1000_RS09660,host,gene-SAURSH1000_RS09660,2.833213344056216,3.332204510175204,2.5649493574615367,3.4339872044851463,3.4657359027997265,2.5649493574615367,3.8918202981106265,3.8066624897703196,2.9444389791664403,3.970291913552122,3.713572066704308,2.5649493574615367,3.332204510175204,3.332204510175204,1.6094379124341003,2.0794415416798357,1.9459101490553132,1.791759469228055,1.9459101490553132,1.9459101490553132,0.6931471805599453
gene-SAURSH1000_RS09320,host,putP,5.733341276897746,6.470799503782602,5.918893854273146,6.1092475827643655,5.733341276897746,5.733341276897746,6.0473721790462776,5.739792912179234,5.733341276897746,6.364750756851911,5.855071922202427,5.298317366548036,6.192362489474872,6.744059186311348,4.955827057601261,5.58724865840025,5.384495062789089,4.663439094112067,5.384495062789089,5.493061443340548,3.7376696182833684
gene-SAURSH1000_RS12990,host,gene-SAURSH1000_RS12990,2.772588722239781,2.772588722239781,2.1972245773362196,2.9444389791664403,2.9444389791664403,2.0794415416798357,3.1354942159291497,2.995732273553991,2.70805020110221,3.091042453358316,2.4849066497880004,2.302585092994046,2.3978952727983707,2.0794415416798357,0.6931471805599453,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.6094379124341003,1.791759469228055,0.6931471805599453
gene-SAURSH1000_RS08950,host,gene-SAURSH1000_RS08950,7.888709524182015,7.022868086082641,7.094234845924755,7.403061091090091,7.124478262493424,6.536691597591305,7.358193752733032,7.143617602704121,7.145196134997171,7.171656822768514,7.43955930913332,6.902742737158593,6.194405391104672,6.892641641172089,5.840641657373398,6.782192056006791,5.25227342804663,5.5134287461649825,6.018593214496234,5.8888779583328805,5.3981627015177525
gene-SAURSH1000_RS00570,host,gene-SAURSH1000_RS00570,3.044522437723423,2.9444389791664403,2.6390573296152584,3.5263605246161616,2.8903717578961645,3.5553480614894135,3.295836866004329,2.70805020110221,2.9444389791664403,3.5263605246161616,3.044522437723423,2.5649493574615367,3.5263605246161616,3.295836866004329,2.0794415416798357,1.791759469228055,2.0794415416798357,1.791759469228055,1.6094379124341003,2.0794415416798357,0.6931471805599453
gene-SAURSH1000_RS07550,host,mtnN,5.849324779946859,5.8289456176102075,5.863631175598097,6.22455842927536,5.872117789475416,5.996452088619021,6.331501849893691,6.023447592961033,5.973809611869261,6.424869023905388,6.359573868672378,5.342334251964811,5.75890177387728,6.1779441140506,4.418840607796598,4.3694478524670215,4.795790545596741,3.8501476017100584,4.248495242049359,4.919980925828125,3.2188758248682006
gene-SAURSH1000_RS10930,host,gene-SAURSH1000_RS10930,5.093750200806762,5.1298987149230735,5.003946305945459,5.043425116919247,5.332718793265369,5.030437921392435,5.476463551931511,5.37989735354046,4.77912349311153,5.272999558563747,5.564520407322694,4.51085950651685,5.0238805208462765,5.793013608384144,3.8501476017100584,4.04305126783455,4.430816798843313,3.258096538021482,3.4657359027997265,4.7535901911063645,2.5649493574615367
gene-SAURSH1000_RS07785,host,gene-SAURSH1000_RS07785,8.629092283913646,8.396831834745054,8.328934041955529,8.891786635857315,8.564458383883352,8.425735580927402,9.09963224999176,8.769662508112274,8.50045386741194,8.72729202920964,9.111182800442965,8.293799608846818,7.881559917056899,8.735846677457582,7.503289630675082,7.134890851565884,7.309212365692763,6.71295620067707,7.00033446027523,7.31986492980897,5.983936280687191
gene-SAURSH1000_RS12335,host,gene-SAURSH1000_RS12335,5.6131281063880705,5.568344503761097,5.627621113690637,6.236369590203704,6.154858094016418,5.5134287461649825,6.09807428216624,6.100318952020064,5.932245187448011,5.583496308781699,6.133398042996649,5.187385805840755,4.736198448394496,5.488937726156687,3.4965075614664802,4.700480365792417,4.3694478524670215,2.995732273553991,4.882801922586371,4.852030263919617,2.9444389791664403
gene-SAURSH1000_RS06010,host,gene-SAURSH1000_RS06010,5.886104031450156,5.948034989180646,5.846438775057725,6.385194398997726,6.246106765481563,5.908082938168931,6.419994928147142,6.257667587882639,6.016157159698354,6.133398042996649,6.2878585601617845,5.272999558563747,5.442417710521793,5.883322388488279,4.1588830833596715,4.477336814478207,4.543294782270004,3.784189633918261,4.394449154672439,4.787491742782046,3.1780538303479458
gene-SAURSH1000_RS08750,host,gene-SAURSH1000_RS08750,8.28576542051433,7.458186157340487,7.578145472419466,7.719129840906732,7.418180822726788,6.827629234502852,7.603897968521881,7.579167967396076,7.3613754289773485,7.363913501405819,7.785305182539862,7.382746449738912,6.829793737512425,7.671826797878781,6.173786103901937,6.846943139585379,6.206575926724928,6.51025834052315,6.335054251498059,6.411818267709897,5.955837369464831
gene-SAURSH1000_RS04355,host,opp3b,3.8066624897703196,5.8377304471659395,4.1588830833596715,4.143134726391533,4.990432586778736,4.204692619390966,4.07753744390572,4.406719247264253,4.02535169073515,4.912654885736052,3.9889840465642745,3.2188758248682006,4.736198448394496,4.820281565605037,3.367295829986474,3.258096538021482,3.4339872044851463,2.772588722239781,2.995732273553991,3.332204510175204,1.9459101490553132
gene-SAURSH1000_RS11260,host,gene-SAURSH1000_RS11260,2.1972245773362196,2.302585092994046,2.4849066497880004,2.70805020110221,2.5649493574615367,2.4849066497880004,3.2188758248682006,2.772588722239781,2.70805020110221,3.258096538021482,3.367295829986474,2.302585092994046,2.1972245773362196,3.044522437723423,1.6094379124341003,2.0794415416798357,2.3978952727983707,1.0986122886681098,1.3862943611198906,0.0,1.0986122886681098
gene-CPT_phageK_gp059,phage,gene-CPT_phageK_gp059,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,4.605170185988092,1.9459101490553132,4.189654742026425,7.475905969367397,5.780743515792329,7.266827347520591,8.024862150286411,7.597897950521784,7.462789157412448,6.018593214496234,6.418364935936212,6.236369590203704,5.313205979041787,5.298317366548036,5.3981627015177525
gene-SAURSH1000_RS02825,host,gene-SAURSH1000_RS02825,3.258096538021482,3.258096538021482,3.1780538303479458,4.060443010546419,2.3978952727983707,3.713572066704308,3.7376696182833684,3.4965075614664802,3.258096538021482,4.605170185988092,3.9318256327243257,3.044522437723423,3.9512437185814275,4.143134726391533,1.9459101490553132,2.772588722239781,2.9444389791664403,0.6931471805599453,2.6390573296152584,2.5649493574615367,1.0986122886681098
gene-SAURSH1000_RS05490,host,pyrF,5.429345628954441,7.745435610274381,4.762173934797756,5.793013608384144,7.7501841622578365,4.90527477843843,6.55250788703459,8.551014739891748,5.303304908059076,6.882437470997847,8.371704884667631,5.4680601411351315,5.937536205082426,6.0844994130751715,4.356708826689592,4.406719247264253,3.871201010907891,3.9318256327243257,3.784189633918261,3.912023005428146,3.2188758248682006
gene-SAURSH1000_RS10105,host,gene-SAURSH1000_RS10105,5.680172609017068,5.480638923341991,5.342334251964811,6.037870919922137,5.342334251964811,5.327876168789581,6.212606095751519,5.424950017481403,5.598421958998375,5.783825182329737,5.541263545158426,5.298317366548036,5.1647859739235145,5.768320995793772,3.8501476017100584,4.31748811353631,4.174387269895637,2.9444389791664403,4.394449154672439,4.2626798770413155,2.8903717578961645
gene-SAURSH1000_RS04720,host,gene-SAURSH1000_RS04720,3.9318256327243257,4.356708826689592,4.02535169073515,4.276666119016055,4.343805421853684,3.9889840465642745,4.406719247264253,4.700480365792417,4.23410650459726,4.48863636973214,4.859812404361672,3.332204510175204,3.2188758248682006,4.07753744390572,2.6390573296152584,2.8903717578961645,2.4849066497880004,0.6931471805599453,2.302585092994046,2.6390573296152584,1.3862943611198906
gene-SAURSH1000_RS10290,host,gene-SAURSH1000_RS10290,6.182084906716632,6.255750041753367,6.285998094508865,6.658011045870748,5.996452088619021,6.499787040655854,6.658011045870748,6.29156913955832,6.135564891081739,6.852242569051878,6.608000625296087,5.768320995793772,6.400257445308821,6.591673732008658,5.187385805840755,4.8283137373023015,5.5254529391317835,4.2626798770413155,4.736198448394496,5.438079308923196,3.7376696182833684
gene-SAURSH1000_RS04345,host,fabF,9.212936997823448,8.871645667501872,9.171703488361265,9.288504392945537,9.100078977718645,9.066354521447801,9.490771217713771,9.140454244512016,9.054855469135788,9.031931152002144,9.204925739274683,8.628197749459149,8.047509510981422,8.646113971483077,7.844632644464681,7.268920128193722,7.2196420401307355,7.1308988302963465,6.920671504248683,7.527255919373784,6.617402977974478
gene-SAURSH1000_RS07245,host,gene-SAURSH1000_RS07245,5.3706380281276624,5.135798437050262,5.44673737166631,6.054439346269371,4.543294782270004,4.852030263919617,6.042632833682381,4.553876891600541,5.318119993844216,6.095824562432225,4.564348191467836,4.955827057601261,5.755742213586912,5.1298987149230735,4.418840607796598,5.303304908059076,4.0943445622221,4.343805421853684,4.795790545596741,4.204692619390966,3.912023005428146
gene-SAURSH1000_RS01695,host,gene-SAURSH1000_RS01695,4.290459441148391,4.356708826689592,4.51085950651685,5.087596335232384,4.007333185232471,4.51085950651685,4.897839799950911,4.23410650459726,4.330733340286331,5.0106352940962555,4.382026634673881,3.713572066704308,4.532599493153256,4.48863636973214,3.367295829986474,3.1354942159291497,3.1780538303479458,2.3978952727983707,2.9444389791664403,3.1780538303479458,1.3862943611198906
gene-SAURSH1000_RS12185,host,gene-SAURSH1000_RS12185,7.009408932708637,6.118097198041348,7.542213463193403,7.321188556739478,4.820281565605037,7.201170883281678,7.470224135899966,4.574710978503383,7.10085190894405,7.344719054149673,4.3694478524670215,6.736966958001855,6.646390514847729,5.634789603169249,5.831882477283517,5.214935757608986,4.844187086458591,4.90527477843843,4.700480365792417,5.384495062789089,4.700480365792417
gene-SAURSH1000_RS03580,host,ytxJ,5.857933154483459,5.537334267018537,5.6131281063880705,6.416732282512326,5.733341276897746,5.733341276897746,6.352629396319567,5.996452088619021,5.908082938168931,6.161207321695077,6.354370040797351,5.225746673713202,5.5909869805108565,6.063785208687608,4.2626798770413155,4.709530201312334,4.77912349311153,3.828641396489095,4.736198448394496,4.61512051684126,2.8903717578961645
gene-SAURSH1000_RS02590,host,gene-SAURSH1000_RS02590,5.117993812416755,5.003946305945459,5.262690188904886,5.375278407684165,5.247024072160486,5.209486152841421,5.6240175061873385,5.187385805840755,5.123963979403259,5.3981627015177525,5.424950017481403,4.605170185988092,4.927253685157205,5.484796933490655,4.1588830833596715,3.784189633918261,4.2626798770413155,3.258096538021482,3.58351893845611,4.0943445622221,2.5649493574615367
gene-SAURSH1000_RS07690,host,gene-SAURSH1000_RS07690,6.220590170099739,6.161207321695077,6.180016653652572,6.646390514847729,6.386879319362645,6.063785208687608,6.741700694652055,6.35088571671474,6.230481447578482,6.517671272912275,6.523562306149512,5.6937321388027,5.877735781779639,6.244166900663736,4.68213122712422,5.003946305945459,5.176149732573829,3.8918202981106265,5.14166355650266,5.19295685089021,3.4011973816621555
gene-CPT_phageK_gp121,phage,gene-CPT_phageK_gp121,0.0,0.6931471805599453,0.0,4.07753744390572,0.0,0.6931471805599453,5.198497031265826,3.295836866004329,4.564348191467836,8.16194579946869,6.333279628139691,8.502079553606189,9.586033321750676,9.09963224999176,9.455010553834672,8.982561092257445,9.11250701162742,9.026297334283887,8.207674424355282,8.503499864284235,7.9665866976384025
gene-SAURSH1000_RS12385,host,gene-SAURSH1000_RS12385,1.9459101490553132,2.3978952727983707,1.3862943611198906,1.6094379124341003,0.6931471805599453,1.9459101490553132,2.1972245773362196,1.0986122886681098,1.9459101490553132,1.3862943611198906,1.6094379124341003,1.3862943611198906,0.6931471805599453,1.3862943611198906,1.0986122886681098,0.0,1.3862943611198906,1.6094379124341003,1.0986122886681098,0.6931471805599453,0.6931471805599453
gene-SAURSH1000_RS03970,host,gene-SAURSH1000_RS03970,4.189654742026425,5.3230099791384085,4.30406509320417,4.663439094112067,4.787491742782046,4.127134385045092,4.867534450455582,4.852030263919617,4.442651256490317,5.313205979041787,4.804021044733257,4.276666119016055,5.529429087511423,5.82600010738045,4.110873864173311,4.248495242049359,4.477336814478207,3.912023005428146,3.7376696182833684,3.8066624897703196,3.4339872044851463
gene-SAURSH1000_RS00190,host,gene-SAURSH1000_RS00190,2.4849066497880004,2.70805020110221,2.1972245773362196,3.091042453358316,2.6390573296152584,2.70805020110221,2.6390573296152584,2.8903717578961645,2.4849066497880004,2.772588722239781,2.3978952727983707,1.9459101490553132,2.70805020110221,1.9459101490553132,1.0986122886681098,1.3862943611198906,1.6094379124341003,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453
gene-SAURSH1000_RS06415,host,gene-SAURSH1000_RS06415,4.430816798843313,4.127134385045092,4.624972813284271,5.0369526024136295,3.970291913552122,4.3694478524670215,5.111987788356544,4.330733340286331,4.465908118654584,4.912654885736052,4.795790545596741,4.330733340286331,4.6443908991413725,4.499809670330265,3.6109179126442243,3.8066624897703196,3.6375861597263857,3.091042453358316,3.8918202981106265,3.6888794541139363,2.70805020110221
gene-SAURSH1000_RS11390,host,gene-SAURSH1000_RS11390,3.6375861597263857,4.02535169073515,3.6635616461296463,4.127134385045092,3.871201010907891,4.30406509320417,4.394449154672439,3.6888794541139363,3.9512437185814275,4.204692619390966,4.02535169073515,3.6109179126442243,4.060443010546419,4.060443010546419,2.5649493574615367,3.091042453358316,2.8903717578961645,1.9459101490553132,2.772588722239781,2.9444389791664403,1.791759469228055
gene-SAURSH1000_RS04045,host,gene-SAURSH1000_RS04045,6.016157159698354,6.222576268071369,6.274762021241939,6.226536669287466,6.46302945692067,6.336825731146441,6.3818160174060985,6.2166061010848646,6.269096283706261,6.295266001439646,6.144185634125646,5.476463551931511,5.777652323222656,6.030685260261263,5.093750200806762,4.6443908991413725,5.0689042022202315,3.9318256327243257,4.356708826689592,4.990432586778736,3.6635616461296463
gene-CPT_phageK_gp058,phage,gene-CPT_phageK_gp058,0.0,0.0,0.0,0.0,0.0,0.0,3.912023005428146,1.3862943611198906,2.8903717578961645,7.002155954403621,4.74493212836325,6.57507584059962,7.616775808698373,6.933423025730715,6.782192056006791,5.424950017481403,5.8944028342648505,5.521460917862246,4.564348191467836,4.859812404361672,4.499809670330265
gene-SAURSH1000_RS05475,host,gene-SAURSH1000_RS05475,6.703188113240863,8.668024081118821,6.373319789577012,6.945051063725834,9.161255164285691,5.934894195619588,7.384610383176974,9.12913031655064,7.022868086082641,7.226936018493289,8.055475141757274,5.267858159063328,6.311734809152915,5.926926025970411,4.442651256490317,6.1224928095143865,4.574710978503383,4.330733340286331,5.181783550292085,4.997212273764115,3.5553480614894135
gene-SAURSH1000_RS10205,host,czrB,5.5053315359323625,7.123672785204607,4.90527477843843,5.961005339623274,7.874739125171811,4.859812404361672,6.380122536899765,7.534228326274089,6.220590170099739,6.289715570908998,6.799055862058796,6.289715570908998,6.450470422144176,6.163314804034641,5.493061443340548,6.016157159698354,5.41610040220442,5.25227342804663,5.4116460518550396,5.214935757608986,4.48863636973214
gene-SAURSH1000_RS01950,host,gene-SAURSH1000_RS01950,7.133295954896068,7.928045600874777,7.934871565945177,7.060476365999801,7.683403681053826,7.76046702921342,7.011213987350367,6.946975992135418,7.631916513071252,7.346655163176539,6.579251212010101,6.794586580876499,7.470224135899966,8.716863386544805,6.570882962339584,6.9167150203536085,7.049254841255837,6.156978985585555,6.267200548541362,6.844815479208263,5.497168225293202
gene-SAURSH1000_RS12500,host,gene-SAURSH1000_RS12500,3.713572066704308,3.6888794541139363,3.4657359027997265,3.8501476017100584,3.8918202981106265,3.295836866004329,3.5263605246161616,3.7376696182833684,3.5553480614894135,3.367295829986474,3.9512437185814275,3.258096538021482,3.1780538303479458,3.6635616461296463,2.1972245773362196,2.8903717578961645,2.5649493574615367,2.3978952727983707,2.302585092994046,2.3978952727983707,1.0986122886681098
gene-CPT_phageK_gp158,phage,gene-CPT_phageK_gp158,0.0,0.0,0.0,6.023447592961033,1.0986122886681098,1.3862943611198906,4.394449154672439,2.772588722239781,3.1354942159291497,6.716594773520978,5.697093486505405,6.99117688712121,7.81923445385907,7.79934339821592,7.931644021454311,9.592946185938265,9.329722128996263,,,,
gene-SAURSH1000_RS00215,host,gene-SAURSH1000_RS00215,2.5649493574615367,2.302585092994046,2.70805020110221,3.332204510175204,2.833213344056216,2.70805020110221,3.367295829986474,2.8903717578961645,2.8903717578961645,3.4011973816621555,2.6390573296152584,1.6094379124341003,2.8903717578961645,2.772588722239781,1.3862943611198906,2.1972245773362196,2.1972245773362196,0.0,1.3862943611198906,0.6931471805599453,1.0986122886681098
gene-SAURSH1000_RS07975,host,mutM,5.961005339623274,6.082218910376446,5.976350909297934,6.240275845170769,6.386879319362645,6.208590026096629,6.376726947898627,6.349138991379798,5.8289456176102075,6.352629396319567,6.259581464064923,5.278114659230517,5.872117789475416,6.129050210060545,4.736198448394496,4.532599493153256,5.0106352940962555,3.9889840465642745,4.23410650459726,4.927253685157205,3.6375861597263857
gene-SAURSH1000_RS00610,host,gene-SAURSH1000_RS00610,7.234898420314831,5.717027701406222,8.36264243156764,7.313886831633462,4.927253685157205,8.059908334578276,7.2254814727822945,4.624972813284271,7.571473648851271,6.906754778648554,4.543294782270004,6.8658910748834385,6.220590170099739,4.624972813284271,6.22455842927536,4.762173934797756,3.8066624897703196,5.3981627015177525,4.189654742026425,4.836281906951478,4.997212273764115
gene-SAURSH1000_RS03390,host,saeR,6.336825731146441,6.272877006546167,6.576469569048224,7.045776576879511,6.302618975744905,6.413458957167357,7.1785454837637,6.448889394146858,6.658011045870748,7.0192966537150445,6.720220155135295,6.0473721790462776,6.343880434126331,6.645090969505644,5.181783550292085,5.225746673713202,5.455321115357702,4.584967478670572,5.049856007249537,5.5909869805108565,3.9889840465642745
