Geneid,Entity,Symbol,5_R1,5_R2,5_R3,15_R1,15_R2,15_R3,30_R1,30_R2,30_R3,Temporal_Class
gene-Saur515_RS06090,host,aspS,7.6324011266014535,7.722234744709607,7.697575346802343,6.706862336602747,6.651571873589727,7.001245622069476,6.79794041297493,6.171700597410915,5.799092654460526,early
gene-Saur515_RS11655,host,essA,4.174387269895637,4.219507705176107,4.454347296253507,3.1354942159291497,2.995732273553991,3.258096538021482,3.8501476017100584,2.833213344056216,2.302585092994046,early
gene-Saur515_RS04340,host,lgt,6.806829360392176,6.771935555839602,6.876264611890766,5.493061443340548,5.442417710521793,5.937536205082426,5.8664680569332965,5.627621113690637,5.043425116919247,early
gene-Saur515_RS07475,host,guaB,7.9483852851118995,8.051022208190679,8.021584533455107,6.75110146893676,6.706862336602747,7.023758954738443,6.925595197110468,6.359573868672378,6.059123195581797,early
gene-Saur515_RS05465,host,rsmH,8.575650760987806,8.653645314551737,8.69751274553952,7.275864600546533,7.123672785204607,7.749322464660356,7.592366128519796,7.550661243105336,6.70808408385307,early
gene-Saur515_RS08615,host,pstA,2.772588722239781,2.3978952727983707,2.0794415416798357,1.791759469228055,1.3862943611198906,2.0794415416798357,2.4849066497880004,2.3978952727983707,1.791759469228055,middle
gene-Saur515_RS05065,host,gene-Saur515_RS05065,4.718498871295094,4.875197323201151,4.852030263919617,3.713572066704308,4.007333185232471,4.418840607796598,4.23410650459726,4.248495242049359,3.7612001156935624,early
gene-Saur515_RS09150,host,gene-Saur515_RS09150,7.382746449738912,7.513163545234075,7.56164174558878,6.240275845170769,5.966146739123692,6.716594773520978,6.677083461247136,6.543911845564792,5.7745515455444085,early
gene-Saur515_RS08420,host,gene-Saur515_RS08420,4.553876891600541,4.51085950651685,4.584967478670572,3.295836866004329,3.295836866004329,3.784189633918261,3.6375861597263857,3.6109179126442243,2.8903717578961645,early
gene-Saur515_RS02780,host,gene-Saur515_RS02780,10.24206471510266,10.381955260193992,10.333287485659087,9.258558944246657,9.33846969968671,9.733884768149949,9.056373008678756,8.790269111478656,8.333510708982942,early
gene-Saur515_RS03580,host,rpmD,7.720017940432244,7.70796153183549,7.731930721948486,6.541029999189903,6.26530121273771,6.6052979209482015,6.931471805599453,5.945420608606575,5.726847747587197,early
gene-Saur515_RS00785,host,sbnD,1.791759469228055,2.772588722239781,2.1972245773362196,1.0986122886681098,1.3862943611198906,1.791759469228055,1.0986122886681098,1.0986122886681098,0.6931471805599453,early
gene-Saur515_RS02350,host,cntM,2.772588722239781,3.1354942159291497,3.1780538303479458,1.0986122886681098,1.3862943611198906,1.9459101490553132,1.6094379124341003,1.0986122886681098,1.791759469228055,early
gene-Saur515_RS01415,host,gene-Saur515_RS01415,4.060443010546419,3.9889840465642745,4.189654742026425,2.6390573296152584,2.6390573296152584,2.9444389791664403,3.1354942159291497,3.5263605246161616,3.1354942159291497,early
gene-Saur515_RS04815,host,gene-Saur515_RS04815,6.684611727667927,6.787844982309579,6.883462586413092,5.5093883366279774,5.5093883366279774,5.983936280687191,5.755742213586912,5.697093486505405,5.272999558563747,early
gene-Saur515_RS14360,host,gene-Saur515_RS14360,6.398594934535208,6.280395838960195,6.331501849893691,5.638354669333745,5.568344503761097,5.849324779946859,6.771935555839602,5.916202062607435,5.676753802268282,middle
gene-Saur515_RS06545,host,gene-Saur515_RS06545,2.833213344056216,3.295836866004329,3.4657359027997265,1.0986122886681098,1.6094379124341003,2.302585092994046,1.3862943611198906,1.9459101490553132,1.3862943611198906,early
gene-Saur515_RS03060,host,fosB,2.995732273553991,3.1780538303479458,2.995732273553991,1.0986122886681098,0.6931471805599453,1.6094379124341003,1.791759469228055,1.0986122886681098,0.6931471805599453,early
gene-Saur515_RS03460,host,gene-Saur515_RS03460,6.646390514847729,6.7912214627261855,6.932447891572509,5.231108616854587,5.093750200806762,5.730099782973574,5.808142489980444,5.60947179518496,5.1298987149230735,early
gene-Saur515_RS11005,host,gene-Saur515_RS11005,7.022868086082641,7.149131598557407,7.190676034332207,5.726847747587197,5.638354669333745,6.2324480165505225,6.345636360828596,5.921578419643816,5.424950017481403,early
gene-Saur515_RS01425,host,gene-Saur515_RS01425,7.395721608602045,7.528869256642251,7.507141079727608,6.396929655216146,6.586171654854675,6.974478911025045,7.268920128193722,6.78897174299217,6.253828811575473,early
gene-Saur515_RS08320,host,typA,7.925157512224703,8.026170194946426,8.024862150286411,6.588926477533519,6.4692503167957724,6.68586094706836,6.7580945044277305,6.246106765481563,5.755742213586912,early
gene-Saur515_RS04520,host,queF,6.0063531596017325,6.184148890937483,6.1463292576688975,4.584967478670572,4.406719247264253,4.9344739331306915,4.867534450455582,4.442651256490317,4.02535169073515,early
gene-phage515_00173,phage,gene-phage515_00173,9.05204779298159,9.223552703448318,9.029657471850737,10.372334262809115,10.533135671533165,10.793413774978955,10.686406878987126,10.621498062820763,10.102502332271744,middle
gene-Saur515_RS08115,host,purQ,5.424950017481403,5.648974238161206,5.517452896464707,5.455321115357702,5.313205979041787,5.594711379601839,5.176149732573829,4.859812404361672,4.770684624465665,early
gene-phage515_00223,phage,gene-phage515_00223,6.86484777797086,7.050122520269059,6.814542897259958,8.15478757276852,7.91862865334224,8.460622839927844,8.063062911326792,7.914617709040679,7.422373700986824,middle
gene-Saur515_RS08840,host,tkt,9.464051924856811,9.612600349135398,9.601097851212073,8.35490952835879,8.387312270561717,8.872627365918836,8.702842538302868,8.396831834745054,7.876258882303226,early
gene-Saur515_RS07930,host,gene-Saur515_RS07930,3.367295829986474,3.332204510175204,3.784189633918261,2.70805020110221,2.1972245773362196,3.1354942159291497,2.3978952727983707,1.9459101490553132,1.3862943611198906,early
gene-Saur515_RS02110,host,crtO,4.174387269895637,4.430816798843313,4.04305126783455,2.833213344056216,3.258096538021482,3.6109179126442243,3.6109179126442243,3.8066624897703196,3.4011973816621555,early
gene-Saur515_RS11545,host,gene-Saur515_RS11545,5.655991810819852,5.777652323222656,5.7745515455444085,4.709530201312334,4.330733340286331,4.927253685157205,5.2574953720277815,5.017279836814924,4.30406509320417,early
gene-Saur515_RS12580,host,gene-Saur515_RS12580,8.376090350438238,8.423321975806166,8.467582690862903,6.8679744089702925,6.763884908562435,7.356918242356021,7.368339686311381,6.92951677076365,6.302618975744905,early
gene-Saur515_RS14170,host,gene-Saur515_RS14170,3.6109179126442243,3.6635616461296463,4.02535169073515,3.044522437723423,3.091042453358316,3.367295829986474,3.367295829986474,2.5649493574615367,2.8903717578961645,early
gene-Saur515_RS12220,host,gene-Saur515_RS12220,8.142354276849835,8.281723990411392,8.268218880067506,6.698268054115413,6.4692503167957724,7.189922170745808,7.226936018493289,6.7661917146603505,6.391917113392602,early
gene-Saur515_RS10400,host,cysS,7.321849713788356,7.257707677160043,7.372118028337787,6.003887067106539,5.955837369464831,6.340359303727752,6.148468295917647,5.655991810819852,5.41610040220442,early
gene-Saur515_RS03055,host,hutG,6.104793232414985,6.129050210060545,6.180016653652572,5.3981627015177525,5.3706380281276624,5.945420608606575,5.955837369464831,6.272877006546167,5.170483995038151,late
gene-Saur515_RS10165,host,gene-Saur515_RS10165,3.4657359027997265,3.4657359027997265,3.367295829986474,2.833213344056216,2.8903717578961645,3.091042453358316,2.772588722239781,2.4849066497880004,2.1972245773362196,early
gene-Saur515_RS11385,host,gene-Saur515_RS11385,6.218600119691729,6.139884552226255,6.182084906716632,4.927253685157205,4.844187086458591,5.303304908059076,5.337538079701318,5.099866427824199,4.61512051684126,early
gene-Saur515_RS13220,host,gene-Saur515_RS13220,3.2188758248682006,3.2188758248682006,3.5263605246161616,1.791759469228055,1.9459101490553132,2.9444389791664403,2.0794415416798357,1.9459101490553132,0.6931471805599453,early
gene-Saur515_RS09850,host,gene-Saur515_RS09850,7.964850887447313,8.0519780789023,8.112227958349724,6.35088571671474,6.234410725718371,6.851184927493743,6.7650389767805414,6.583409222158765,5.940171252720432,early
gene-Saur515_RS00045,host,gene-Saur515_RS00045,4.532599493153256,4.727387818712341,4.51085950651685,2.8903717578961645,3.2188758248682006,3.784189633918261,3.6375861597263857,2.833213344056216,2.302585092994046,early
gene-Saur515_RS01785,host,gene-Saur515_RS01785,4.060443010546419,4.290459441148391,4.0943445622221,3.332204510175204,3.044522437723423,3.6375861597263857,3.6888794541139363,3.295836866004329,2.5649493574615367,early
gene-Saur515_RS12530,host,ilvD,4.04305126783455,3.912023005428146,4.276666119016055,1.791759469228055,2.302585092994046,2.1972245773362196,2.772588722239781,2.3978952727983707,1.9459101490553132,early
gene-Saur515_RS13845,host,gene-Saur515_RS13845,4.653960350157523,4.465908118654584,4.672828834461906,4.174387269895637,4.454347296253507,4.787491742782046,5.3612921657094255,4.31748811353631,4.454347296253507,middle
gene-Saur515_RS12645,host,pmtC,6.464588303689961,6.489204931325317,6.473890696352274,4.983606621708336,5.062595033026967,5.497168225293202,5.303304908059076,4.990432586778736,4.605170185988092,early
gene-phage515_00208,phage,gene-phage515_00208,7.6004023345004,7.646831391430482,7.65728279297819,7.291656209174461,7.010311867307229,7.537962659768208,6.591673732008658,6.75343791859778,6.133398042996649,early
gene-Saur515_RS01990,host,gene-Saur515_RS01990,7.986164860332727,8.087332926473351,8.103796712981794,6.61338421837956,6.568077911411976,7.037027614686276,6.860663671448287,6.610696044717759,6.037870919922137,early
gene-phage515_00180,phage,gene-phage515_00180,7.528869256642251,7.64826303090192,7.465655310134056,8.146129510025405,8.127699852817772,8.522578663692576,8.65084957622891,8.255308811785596,7.942717540573791,middle
gene-Saur515_RS08445,host,gene-Saur515_RS08445,2.9444389791664403,2.9444389791664403,2.4849066497880004,2.0794415416798357,2.0794415416798357,1.9459101490553132,2.3978952727983707,1.791759469228055,1.6094379124341003,early
gene-Saur515_RS07525,host,ahpF,8.855378246041125,8.945202263959297,8.931287626222456,7.083387847625295,7.181591944611865,7.597897950521784,7.841492924460013,7.471363088187097,6.786716950605081,early
gene-Saur515_RS09205,host,rpoE,7.809135398120538,7.938445551164788,8.049107721326406,6.52795791762255,6.008813185442595,6.836259277277067,6.762729506931879,6.413458957167357,5.820082930352362,early
gene-Saur515_RS03690,host,alsS,7.418780882750794,7.01301578963963,7.4798641311650265,6.432940092739179,6.1070228877422545,7.077498053569231,7.273092595999522,6.795705775173514,6.298949246855942,early
gene-Saur515_RS11690,host,esxD,3.091042453358316,3.044522437723423,3.091042453358316,2.70805020110221,2.70805020110221,2.4849066497880004,2.3978952727983707,0.6931471805599453,1.0986122886681098,early
gene-Saur515_RS13395,host,gene-Saur515_RS13395,3.912023005428146,3.9889840465642745,4.143134726391533,3.091042453358316,2.1972245773362196,2.833213344056216,3.4657359027997265,3.1780538303479458,2.5649493574615367,early
gene-Saur515_RS06010,host,rny,8.832587702434553,8.831711917821577,8.92996487470684,7.449498005382849,7.254884810077338,7.906178840394815,7.912423121473705,7.59890045687141,6.9411900550683745,early
gene-Saur515_RS05370,host,hyl,4.997212273764115,5.043425116919247,5.0238805208462765,4.07753744390572,3.9318256327243257,4.584967478670572,5.176149732573829,4.624972813284271,4.23410650459726,middle
gene-Saur515_RS13400,host,gene-Saur515_RS13400,4.330733340286331,4.844187086458591,4.927253685157205,3.7376696182833684,2.5649493574615367,3.1354942159291497,3.044522437723423,2.8903717578961645,2.302585092994046,early
gene-Saur515_RS12745,host,gene-Saur515_RS12745,3.4965075614664802,3.784189633918261,3.9889840465642745,3.295836866004329,3.044522437723423,3.1354942159291497,4.0943445622221,3.7376696182833684,3.091042453358316,middle
gene-phage515_00124,phage,gene-phage515_00124,6.637258031284457,6.78105762593618,6.349138991379798,9.449750895754265,9.616804980417431,9.897419177134521,10.326170250261358,9.435561763085358,9.64439293693626,middle
gene-Saur515_RS07220,host,gene-Saur515_RS07220,6.156978985585555,6.240275845170769,6.304448802421981,5.293304824724492,5.030437921392435,5.638354669333745,5.087596335232384,4.663439094112067,4.07753744390572,early
gene-Saur515_RS12935,host,gene-Saur515_RS12935,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,early
gene-Saur515_RS06335,host,dnaK,9.269080866998783,9.498672233269462,9.348971240145405,7.88344635413774,7.988882253309227,8.365905077202456,8.331345424845724,7.810758116529357,7.541683099882111,early
gene-Saur515_RS00320,host,gene-Saur515_RS00320,4.6443908991413725,4.499809670330265,4.465908118654584,3.1354942159291497,3.258096538021482,3.6635616461296463,3.367295829986474,3.1780538303479458,2.6390573296152584,early
gene-Saur515_RS10245,host,gene-Saur515_RS10245,6.2166061010848646,6.18826412308259,6.263398262591624,4.574710978503383,4.564348191467836,5.262690188904886,5.056245805348308,4.653960350157523,4.23410650459726,early
gene-Saur515_RS02495,host,gene-Saur515_RS02495,6.3818160174060985,6.529418838262226,6.4425401664681985,5.4510384535657,5.472270673671475,6.018593214496234,6.07993319509559,5.25227342804663,5.10594547390058,early
gene-Saur515_RS02130,host,gene-Saur515_RS02130,6.450470422144176,6.429719478039138,6.638567789166521,5.8888779583328805,5.638354669333745,5.948034989180646,5.8916442118257715,5.908082938168931,5.44673737166631,early
gene-Saur515_RS03435,host,mspA,6.643789733147672,6.806829360392176,6.825460036255307,5.327876168789581,5.198497031265826,5.634789603169249,5.6240175061873385,5.25227342804663,4.672828834461906,early
gene-Saur515_RS08700,host,trpC,3.6888794541139363,3.6888794541139363,3.4965075614664802,2.5649493574615367,2.5649493574615367,2.995732273553991,1.791759469228055,0.6931471805599453,0.6931471805599453,early
gene-Saur515_RS00715,host,gene-Saur515_RS00715,5.204006687076795,5.41610040220442,5.3981627015177525,4.30406509320417,3.8918202981106265,4.23410650459726,4.584967478670572,4.060443010546419,3.7612001156935624,early
gene-Saur515_RS02020,host,gene-Saur515_RS02020,4.204692619390966,4.174387269895637,4.382026634673881,3.044522437723423,2.1972245773362196,3.4339872044851463,3.332204510175204,2.1972245773362196,2.70805020110221,early
gene-phage515_00028,phage,gene-phage515_00028,7.830425617820331,7.853604813097837,7.717351272185329,9.078635880978755,9.19502366786429,9.46335335689267,9.358674166481876,9.045937315684574,8.812099108957337,middle
gene-Saur515_RS00765,host,sbnH,3.4657359027997265,3.332204510175204,3.258096538021482,2.1972245773362196,2.4849066497880004,3.1780538303479458,2.3978952727983707,2.302585092994046,2.1972245773362196,early
gene-phage515_00152,phage,gene-phage515_00152,9.161360189754465,9.312084355859467,9.09459276343187,10.940685324169365,11.127762859199894,11.370474410171052,11.86999832972797,11.272406837471928,11.128291866441996,middle
gene-Saur515_RS02105,host,gene-Saur515_RS02105,5.327876168789581,5.308267697401205,5.303304908059076,3.9889840465642745,3.258096538021482,4.2626798770413155,4.406719247264253,4.007333185232471,3.1354942159291497,early
gene-Saur515_RS12165,host,gene-Saur515_RS12165,6.077642243349034,6.0867747269123065,6.156978985585555,4.812184355372417,4.574710978503383,5.293304824724492,5.056245805348308,4.836281906951478,4.189654742026425,early
gene-Saur515_RS08025,host,gene-Saur515_RS08025,4.574710978503383,4.48863636973214,4.882801922586371,3.4011973816621555,2.995732273553991,3.828641396489095,3.8066624897703196,3.912023005428146,3.2188758248682006,early
gene-Saur515_RS07720,host,gene-Saur515_RS07720,5.808142489980444,5.929589143389895,5.937536205082426,4.060443010546419,3.9512437185814275,4.584967478670572,4.890349128221754,4.394449154672439,3.6888794541139363,early
gene-Saur515_RS07555,host,gene-Saur515_RS07555,7.488852955733459,7.38770923908104,7.794823152179389,6.489204931325317,6.306275286948016,7.02197642307216,7.064759027791802,6.890609120147166,6.705639094860003,early
gene-Saur515_RS05125,host,gene-Saur515_RS05125,2.5649493574615367,3.091042453358316,3.2188758248682006,2.0794415416798357,1.9459101490553132,2.3978952727983707,2.302585092994046,2.302585092994046,1.6094379124341003,early
gene-Saur515_RS05530,host,gene-Saur515_RS05530,7.691656822810547,7.703459047867175,7.847762537473608,6.322565239927284,5.886104031450156,6.677083461247136,6.588926477533519,6.593044534142437,5.75890177387728,early
gene-Saur515_RS13005,host,gene-Saur515_RS13005,6.073044534100405,6.171700597410915,6.249975242259483,4.709530201312334,4.787491742782046,5.384495062789089,5.332718793265369,5.214935757608986,4.574710978503383,early
gene-Saur515_RS02380,host,gene-Saur515_RS02380,5.209486152841421,5.313205979041787,5.337538079701318,3.713572066704308,3.871201010907891,4.477336814478207,4.762173934797756,3.58351893845611,3.4011973816621555,early
gene-Saur515_RS09755,host,gene-Saur515_RS09755,6.939253946041508,7.00397413672268,7.109062135687172,5.638354669333745,5.43372200355424,6.042632833682381,5.638354669333745,5.225746673713202,4.969813299576001,early
gene-Saur515_RS06560,host,gcvPA,7.253470382684528,7.336285660021297,7.332369205929062,5.834810737062605,5.869296913133774,6.2166061010848646,6.226536669287466,5.429345628954441,5.356586274672012,early
gene-Saur515_RS01975,host,gene-Saur515_RS01975,6.3080984415095305,6.331501849893691,6.54965074223381,5.298317366548036,4.90527477843843,5.749392985908253,5.480638923341991,5.41610040220442,4.948759890378168,early
gene-Saur515_RS12910,host,gene-Saur515_RS12910,1.9459101490553132,0.0,2.0794415416798357,0.0,1.3862943611198906,0.6931471805599453,0.0,0.0,0.6931471805599453,early
gene-Saur515_RS14315,host,gene-Saur515_RS14315,5.123963979403259,4.919980925828125,5.017279836814924,4.248495242049359,4.330733340286331,4.605170185988092,5.220355825078324,4.709530201312334,4.454347296253507,middle
gene-Saur515_RS11400,host,gene-Saur515_RS11400,6.054439346269371,6.089044875446846,6.095824562432225,4.948759890378168,4.882801922586371,5.327876168789581,5.308267697401205,5.075173815233827,4.499809670330265,early
gene-Saur515_RS02805,host,gene-Saur515_RS02805,6.70073110954781,6.754604099487962,6.926577033222725,5.3612921657094255,5.043425116919247,5.707110264748875,5.720311776607412,5.501258210544727,4.976733742420574,early
gene-Saur515_RS00450,host,argJ,3.1780538303479458,3.713572066704308,3.4965075614664802,1.791759469228055,1.9459101490553132,2.6390573296152584,1.6094379124341003,2.772588722239781,1.3862943611198906,early
gene-Saur515_RS10455,host,pdxS,7.852050207265889,7.950149887652018,7.9269635448629785,6.12029741895095,6.0112671744041615,6.502790045915623,6.349138991379798,6.1070228877422545,5.476463551931511,early
gene-Saur515_RS06275,host,yqeK,6.643789733147672,6.612041034833092,6.672032945461067,5.3612921657094255,5.123963979403259,5.805134968916488,5.58724865840025,5.37989735354046,4.812184355372417,early
gene-Saur515_RS04255,host,secG,6.263398262591624,6.214608098422191,6.489204931325317,5.049856007249537,4.852030263919617,5.3981627015177525,5.351858133476067,5.278114659230517,4.634728988229636,early
gene-Saur515_RS11110,host,infC,8.732627099660395,8.841014310483892,8.83840674707681,7.492203042618741,7.3727463664043285,7.8399193600125825,7.959625305098115,7.348587530927593,6.840546529288687,early
gene-Saur515_RS10890,host,gene-Saur515_RS10890,5.855071922202427,5.8522024797744745,5.929589143389895,4.23410650459726,4.2626798770413155,4.875197323201151,4.68213122712422,4.51085950651685,3.9889840465642745,early
gene-Saur515_RS04000,host,gene-Saur515_RS04000,6.466144724237619,6.429719478039138,6.561030665896573,5.25227342804663,5.231108616854587,5.755742213586912,5.493061443340548,5.4680601411351315,4.927253685157205,early
gene-Saur515_RS06525,host,comGC,1.0986122886681098,2.1972245773362196,2.0794415416798357,1.0986122886681098,1.3862943611198906,1.0986122886681098,0.0,1.0986122886681098,1.3862943611198906,early
gene-Saur515_RS06645,host,lpdA,7.506042178518122,7.496652438168283,7.549609165154532,6.376726947898627,6.317164686747284,6.842683282238422,6.48768401848461,6.100318952020064,5.799092654460526,early
gene-Saur515_RS09795,host,gene-Saur515_RS09795,2.995732273553991,2.8903717578961645,2.70805020110221,1.6094379124341003,2.0794415416798357,1.0986122886681098,2.302585092994046,2.5649493574615367,1.0986122886681098,early
gene-Saur515_RS05555,host,gene-Saur515_RS05555,6.840546529288687,6.993932975223189,6.961296045910167,5.476463551931511,5.5053315359323625,5.8944028342648505,5.902633333401366,5.517452896464707,5.087596335232384,early
gene-Saur515_RS07400,host,gene-Saur515_RS07400,4.110873864173311,4.110873864173311,4.442651256490317,2.6390573296152584,2.302585092994046,3.258096538021482,3.091042453358316,2.833213344056216,2.302585092994046,early
gene-Saur515_RS11900,host,yabA,5.817111159963204,5.932245187448011,6.066108090103747,4.61512051684126,4.406719247264253,5.0106352940962555,4.867534450455582,4.454347296253507,4.204692619390966,early
gene-Saur515_RS12200,host,gene-Saur515_RS12200,7.059617628291383,7.207118856207756,7.233455418621439,5.676753802268282,5.831882477283517,6.198478716492308,5.988961416889864,5.8971538676367405,5.236441962829949,early
gene-Saur515_RS07725,host,gene-Saur515_RS07725,4.955827057601261,5.0369526024136295,5.181783550292085,4.07753744390572,3.7612001156935624,4.060443010546419,4.30406509320417,4.2626798770413155,3.6109179126442243,early
gene-Saur515_RS10490,host,gene-Saur515_RS10490,6.148468295917647,6.208590026096629,6.278521424165844,4.844187086458591,4.74493212836325,5.313205979041787,4.990432586778736,4.820281565605037,4.174387269895637,early
gene-Saur515_RS12720,host,gene-Saur515_RS12720,3.295836866004329,2.833213344056216,3.258096538021482,2.1972245773362196,2.0794415416798357,2.302585092994046,3.4965075614664802,2.4849066497880004,2.4849066497880004,middle
gene-Saur515_RS08105,host,purC,5.71042701737487,5.75890177387728,5.902633333401366,5.438079308923196,5.231108616854587,5.659482215759621,5.225746673713202,5.181783550292085,4.897839799950911,early
gene-Saur515_RS13635,host,gene-Saur515_RS13635,5.648974238161206,5.631211781821365,5.783825182329737,4.727387818712341,4.605170185988092,5.225746673713202,4.897839799950911,4.30406509320417,4.204692619390966,early
gene-Saur515_RS06185,host,gene-Saur515_RS06185,7.193685818395112,7.336285660021297,7.282761179605593,5.993961427306569,6.040254711277414,6.38856140554563,6.45833828334479,5.697093486505405,5.424950017481403,early
gene-Saur515_RS00560,host,cap8L,3.9889840465642745,3.828641396489095,3.6888794541139363,2.70805020110221,2.1972245773362196,2.3978952727983707,2.5649493574615367,2.5649493574615367,2.0794415416798357,early
gene-Saur515_RS13670,host,gene-Saur515_RS13670,1.3862943611198906,2.4849066497880004,1.9459101490553132,1.3862943611198906,0.0,1.3862943611198906,0.6931471805599453,1.791759469228055,0.0,early
gene-phage515_00073,phage,lysK.2,4.007333185232471,4.30406509320417,3.912023005428146,6.2166061010848646,6.508769136971682,6.744059186311348,10.684760072732194,9.531553927636756,9.77854771798028,middle
gene-Saur515_RS01375,host,gene-Saur515_RS01375,4.143134726391533,4.2626798770413155,4.2626798770413155,2.772588722239781,2.4849066497880004,3.091042453358316,3.1780538303479458,2.0794415416798357,1.9459101490553132,early
gene-Saur515_RS12255,host,gene-Saur515_RS12255,6.639875833826536,6.679599185844383,6.923628628138427,5.424950017481403,4.48863636973214,5.298317366548036,5.087596335232384,4.804021044733257,4.418840607796598,early
gene-Saur515_RS01445,host,pcp,3.9318256327243257,3.9889840465642745,4.1588830833596715,2.3978952727983707,2.0794415416798357,2.772588722239781,2.5649493574615367,3.332204510175204,2.70805020110221,early
gene-Saur515_RS12525,host,gene-Saur515_RS12525,3.6375861597263857,3.5553480614894135,3.828641396489095,2.3978952727983707,1.0986122886681098,2.5649493574615367,2.4849066497880004,2.302585092994046,2.4849066497880004,early
gene-Saur515_RS10725,host,gene-Saur515_RS10725,4.110873864173311,4.382026634673881,4.3694478524670215,3.4011973816621555,2.833213344056216,3.4965075614664802,3.4339872044851463,3.2188758248682006,2.995732273553991,early
gene-Saur515_RS07685,host,gene-Saur515_RS07685,5.638354669333745,5.8916442118257715,5.811140992976701,4.290459441148391,3.871201010907891,3.9889840465642745,4.6913478822291435,4.060443010546419,3.4339872044851463,early
gene-Saur515_RS09475,host,gene-Saur515_RS09475,4.68213122712422,4.812184355372417,5.081404364984463,3.4011973816621555,3.4965075614664802,3.7612001156935624,3.4657359027997265,3.6109179126442243,2.4849066497880004,early
gene-Saur515_RS09435,host,murF,7.393263094763838,7.509335266016592,7.484930283289661,6.439350371100098,6.398594934535208,6.8308742346461795,6.621405651764134,6.129050210060545,5.929589143389895,early
gene-Saur515_RS08785,host,plsY,6.690842277418564,6.790097235513905,6.922643891475888,5.840641657373398,5.384495062789089,6.255750041753367,6.393590753950631,5.823045895483019,5.262690188904886,early
gene-Saur515_RS07365,host,gene-Saur515_RS07365,4.8283137373023015,4.955827057601261,4.663439094112067,4.564348191467836,4.30406509320417,4.68213122712422,4.574710978503383,3.828641396489095,3.6635616461296463,early
gene-Saur515_RS04350,host,uvrA,7.335633981927201,7.410347097821024,7.455876687491824,6.4457198193855785,6.340359303727752,6.806829360392176,6.7357800142423265,6.302618975744905,5.953243334287785,early
gene-Saur515_RS14050,host,gene-Saur515_RS14050,4.02535169073515,3.970291913552122,3.7376696182833684,3.258096538021482,2.772588722239781,3.713572066704308,4.04305126783455,3.7612001156935624,3.4657359027997265,middle
gene-Saur515_RS05115,host,gene-Saur515_RS05115,5.69035945432406,5.659482215759621,5.755742213586912,3.970291913552122,4.2626798770413155,4.727387818712341,4.465908118654584,4.1588830833596715,3.4657359027997265,early
gene-Saur515_RS05015,host,gene-Saur515_RS05015,9.163982247998034,9.154298981092557,9.204825191288073,7.594381242551817,7.554334823725748,8.031710375322042,8.02322468471667,7.473637108496206,6.912742820493176,early
gene-Saur515_RS13420,host,sdrM,5.648974238161206,5.768320995793772,5.717027701406222,4.852030263919617,4.770684624465665,5.25227342804663,5.288267030694535,4.90527477843843,4.394449154672439,early
